serviceId	standard	standardCode
CommercialFishingOperations	UNSPSC	70101501
FishingPortServices	UNSPSC	70101502
FishingOnshoreFacilities	UNSPSC	70101503
DeepSeaFishingOperations	UNSPSC	70101504
SonarFishing	UNSPSC	70101505
Whaling	UNSPSC	70101506
Trawling	UNSPSC	70101507
LineFishing	UNSPSC	70101508
SeineOperations	UNSPSC	70101509
FishingNets	UNSPSC	70101510
FisheryInformationServices	UNSPSC	70101601
FisheryDocumentationServices	UNSPSC	70101601
FisheryResearchServices	UNSPSC	70101602
FisheryExperimentationServices	UNSPSC	70101602
FisheryDataCollection	UNSPSC	70101603
Distribution	UNSPSC	70101603
FisheryCommercialManagement	UNSPSC	70101604
FishingFleetManagement	UNSPSC	70101605
FishingCooperatives	UNSPSC	70101606
FisheryResourcesProtection	UNSPSC	70101607
Conservation	UNSPSC	70101607
FishingTechnologyServices	UNSPSC	70101701
FisheryByProductsProductionServices	UNSPSC	70101702
FishProduction	UNSPSC	70101703
FishStorage	UNSPSC	70101704
InlandWaterFisheryResources	UNSPSC	70101801
FishPondResources	UNSPSC	70101802
FishHatcheries	UNSPSC	70101803
FishRanches	UNSPSC	70101804
FisheryByProductResources	UNSPSC	70101805
FisheriesResourceEvaluation	UNSPSC	70101806
Mariculture	UNSPSC	70101901
Ostreiculture	UNSPSC	70101902
ShellfishCulture	UNSPSC	70101903
ShrimpFarming	UNSPSC	70101904
FishFarming	UNSPSC	70101905
PlantingServicesPlant	UNSPSC	70111501
Tree	UNSPSC	70111501
Bush	UNSPSC	70111501
Tree	UNSPSC	70111501
OrnamentalPlant	UNSPSC	70111501
Tree	UNSPSC	70111501
Bush	UNSPSC	70111501
Tree	UNSPSC	70111501
PruningServicesPlant	UNSPSC	70111502
Bush	UNSPSC	70111502
OrnamentalPlant	UNSPSC	70111502
Bush	UNSPSC	70111502
TreeTrimmingServices	UNSPSC	70111503
BracingServices	UNSPSC	70111504
TreeSurgeryServices	UNSPSC	70111505
ArboristServices	UNSPSC	70111506
RemovalServicesPlant	UNSPSC	70111507
Tree	UNSPSC	70111507
Bush	UNSPSC	70111507
Tree	UNSPSC	70111507
OrnamentalPlant	UNSPSC	70111507
Tree	UNSPSC	70111507
Bush	UNSPSC	70111507
Tree	UNSPSC	70111507
PlantsTreeSprayingServices	UNSPSC	70111508
OrnamentalTreeSprayingServices	UNSPSC	70111508
PlantingServices	UNSPSC	70111601
NurseryServices	UNSPSC	70111602
FloricultureServices	UNSPSC	70111603
OrchardManagementServices	UNSPSC	70111701
OrchardMaintenanceServices	UNSPSC	70111701
VineyardManagementServices	UNSPSC	70111702
VineyardMaintenanceServices	UNSPSC	70111702
GardenPlantingServices	UNSPSC	70111703
GardenMaintenanceServices	UNSPSC	70111703
HorticulturalCounselingServices	UNSPSC	70111704
CemeteryUpkeepServices	UNSPSC	70111705
LawnCareServices	UNSPSC	70111706
HighwayLawnMaintenanceServices	UNSPSC	70111707
MulchingServices	UNSPSC	70111708
SeedingServices	UNSPSC	70111709
MowingServices	UNSPSC	70111710
SpriggingServices	UNSPSC	70111711
ParksSprayingServices	UNSPSC	70111712
GardensSprayingServices	UNSPSC	70111712
ParksManagementServices	UNSPSC	70111713
ParksMaintenanceServices	UNSPSC	70111713
DairyHerdManagement	UNSPSC	70121501
DairyIndustryDevelopment	UNSPSC	70121502
DairyTechnology	UNSPSC	70121503
DairyLaboratoriesServices	UNSPSC	70121504
DairyFarmInHouseProcessing	UNSPSC	70121505
LivestockBreeding	UNSPSC	70121601
LivestockGeneticsServices	UNSPSC	70121602
Sericulture	UNSPSC	70121603
AnimalHusbandry	UNSPSC	70121604
FarmRearingSystems	UNSPSC	70121605
PoultryProductionServices	UNSPSC	70121606
SmallAnimalBreedingServices	UNSPSC	70121607
BovineProductionServices	UNSPSC	70121608
Apiculture	UNSPSC	70121610
LivestockSelection	UNSPSC	70121701
LivestockShowingServices	UNSPSC	70121702
LivestockSlaughteringServices	UNSPSC	70121703
HerdManagement	UNSPSC	70121704
LivestockBreedingServices	UNSPSC	70121705
LivestockGroomingServices	UNSPSC	70121705
LivestockIdentificationService	UNSPSC	70121706
LivestockRecordingService	UNSPSC	70121706
