skill	tool
ActiveListening	RecordingEquipment
EquipmentMaintenance	Multimeters
EquipmentSelection	Specifications
Installation	HandTools
ManagementFinancialResources	AccountingSoftware
ManagementFinancialResources	QuickBooks
Mathematics	Excel
Mathematics	MATLAB
Mathematics	Python
OperationControl	IndustrialControlSoftware
OperationsMonitoring	ComputerizedControlSystems
Programming	Cpp
Programming	Java
Programming	JavaScript
Programming	Python
QualityControlAnalysis	Microscopes
QualityControlAnalysis	TestEquipment
Repairing	RepairTools
Speaking	PresentationSoftware
SystemsAnalysis	SystemModelingSoftware
SystemsEvaluation	PerformanceMonitoringTools
TechnologyDesign	AutoCAD
TechnologyDesign	CAD
Troubleshooting	DiagnosticEquipment
Writing	GoogleDocs
Writing	MicrosoftWord
