startupId	industryId
GrowthStageAccommodationFoodServicesStartup	72
GrowthStageAccommodationStartup	721
GrowthStageAccountingTaxPreparationBookkeepingPayrollServicesStartup	5412
GrowthStageActivitiesRelatedCreditIntermediationStartup	5223
GrowthStageActivitiesRelatedRealEstateStartup	5313
GrowthStageAdministrationEconomicProgramsStartup	926
GrowthStageAdministrationEconomicProgramsStartup	9261
GrowthStageAdministrationEnvironmentalQualityProgramsStartup	924
GrowthStageAdministrationEnvironmentalQualityProgramsStartup	9241
GrowthStageAdministrationHousingProgramsUrbanPlanningCommunityDevelopmentStartup	925
GrowthStageAdministrationHousingProgramsUrbanPlanningCommunityDevelopmentStartup	9251
GrowthStageAdministrationHumanResourceProgramsStartup	923
GrowthStageAdministrationHumanResourceProgramsStartup	9231
GrowthStageAdministrativeSupportServicesStartup	561
GrowthStageAdministrativeSupportWasteManagementRemediationServicesStartup	56
GrowthStageAdvertisingPublicRelationsRelatedServicesStartup	5418
GrowthStageAerospaceProductPartsManufacturingStartup	3364
GrowthStageAgenciesBrokeragesOtherInsuranceRelatedActivitiesStartup	5242
GrowthStageAgentsManagersArtistsAthletesEntertainersOtherPublicFiguresStartup	7114
GrowthStageAgricultureConstructionMiningMachineryManufacturingStartup	3331
GrowthStageAgricultureForestryFishingHuntingStartup	11
GrowthStageAirTransportationStartup	481
GrowthStageAllOtherTelecommunicationsStartup	5178
GrowthStageAluminaAluminumProductionProcessingStartup	3313
GrowthStageAmbulatoryHealthCareServicesStartup	621
GrowthStageAmusementGamblingRecreationIndustriesStartup	713
GrowthStageAmusementParksArcadesStartup	7131
GrowthStageAnimalFoodManufacturingStartup	3111
GrowthStageAnimalProductionAquacultureStartup	112
GrowthStageAnimalSlaughteringProcessingStartup	3116
GrowthStageApparelAccessoriesOtherApparelManufacturingStartup	3159
GrowthStageApparelKnittingMillsStartup	3151
GrowthStageApparelManufacturingStartup	315
GrowthStageApparelPieceGoodsNotionsMerchantWholesalersStartup	4243
GrowthStageAquacultureStartup	1125
GrowthStageArchitecturalEngineeringRelatedServicesStartup	5413
GrowthStageArchitecturalStructuralMetalsManufacturingStartup	3323
GrowthStageArtsEntertainmentRecreationStartup	71
GrowthStageAudioVideoEquipmentManufacturingStartup	3343
GrowthStageAutomobileDealersStartup	4411
GrowthStageAutomotiveEquipmentRentalLeasingStartup	5321
GrowthStageAutomotivePartsAccessoriesTireRetailersStartup	4413
GrowthStageAutomotiveRepairMaintenanceStartup	8111
GrowthStageBakeriesTortillaManufacturingStartup	3118
GrowthStageBasicChemicalManufacturingStartup	3251
GrowthStageBeerWineDistilledAlcoholicBeverageMerchantWholesalersStartup	4248
GrowthStageBeerWineLiquorRetailersStartup	4453
GrowthStageBeverageManufacturingStartup	3121
GrowthStageBeverageTobaccoProductManufacturingStartup	312
GrowthStageBoilerTankShippingContainerManufacturingStartup	3324
GrowthStageBookRetailersNewsDealersStartup	4592
GrowthStageBroadcastingContentProvidersStartup	516
GrowthStageBuildingEquipmentContractorsStartup	2382
GrowthStageBuildingFinishingContractorsStartup	2383
GrowthStageBuildingMaterialGardenEquipmentSuppliesDealersStartup	444
GrowthStageBuildingMaterialSuppliesDealersStartup	4441
GrowthStageBusinessProfessionalLaborPoliticalSimilarOrganizationsStartup	8139
GrowthStageBusinessSchoolsComputerManagementTrainingStartup	6114
GrowthStageBusinessSupportServicesStartup	5614
GrowthStageCattleRanchingFarmingStartup	1121
GrowthStageCementConcreteProductManufacturingStartup	3273
GrowthStageCharterBusIndustryStartup	4855
GrowthStageChemicalAlliedProductsMerchantWholesalersStartup	4246
GrowthStageChemicalManufacturingStartup	325
GrowthStageChildCareServicesStartup	6244
GrowthStageCivicSocialOrganizationsStartup	8134
GrowthStageClayProductRefractoryManufacturingStartup	3271
GrowthStageClothingClothingAccessoriesRetailersStartup	4581
GrowthStageClothingClothingAccessoriesShoeJewelryRetailersStartup	458
GrowthStageCoalMiningStartup	2121
GrowthStageCoatingEngravingHeatTreatingAlliedActivitiesStartup	3328
GrowthStageCollegesUniversitiesProfessionalSchoolsStartup	6113
GrowthStageCommercialIndustrialMachineryEquipmentExceptAutomotiveElectronicRepairMaintenanceStartup	8113
GrowthStageCommercialIndustrialMachineryEquipmentRentalLeasingStartup	5324
GrowthStageCommercialServiceIndustryMachineryManufacturingStartup	3333
GrowthStageCommunicationsEquipmentManufacturingStartup	3342
GrowthStageCommunityFoodHousingEmergencyOtherReliefServicesStartup	6242
GrowthStageComputerElectronicProductManufacturingStartup	334
GrowthStageComputerPeripheralEquipmentManufacturingStartup	3341
GrowthStageComputerSystemsDesignRelatedServicesStartup	5415
GrowthStageComputingInfrastructureProvidersDataProcessingWebHostingRelatedServicesStartup	518
GrowthStageComputingInfrastructureProvidersDataProcessingWebHostingRelatedServicesStartup	5182
GrowthStageConstructionBuildingsStartup	236
GrowthStageConstructionStartup	23
GrowthStageConsumerGoodsRentalStartup	5322
