id	name	description	industry	stage
GrowthStageAccommodationFoodServicesStartup	GrowthStage Accommodation and Food Services Startup	Growth stage startup in accommodation and food services	72	GrowthStage
GrowthStageAccommodationStartup	GrowthStage Accommodation Startup	Growth stage startup in accommodation	721	GrowthStage
GrowthStageAccountingTaxPreparationBookkeepingPayrollServicesStartup	GrowthStage Accounting, Tax Preparation, Bookkeeping, and Payroll Services Startup	Growth stage startup in accounting, tax preparation, bookkeeping, and payroll services	5412	GrowthStage
GrowthStageActivitiesRelatedCreditIntermediationStartup	GrowthStage Activities Related to Credit Intermediation Startup	Growth stage startup in activities related to credit intermediation	5223	GrowthStage
GrowthStageActivitiesRelatedRealEstateStartup	GrowthStage Activities Related to Real Estate Startup	Growth stage startup in activities related to real estate	5313	GrowthStage
GrowthStageAdministrationEconomicProgramsStartup	GrowthStage Administration of Economic Programs Startup	Growth stage startup in administration of economic programs	926	GrowthStage
GrowthStageAdministrationEconomicProgramsStartup	GrowthStage Administration of Economic Programs Startup	Growth stage startup in administration of economic programs	9261	GrowthStage
GrowthStageAdministrationEnvironmentalQualityProgramsStartup	GrowthStage Administration of Environmental Quality Programs Startup	Growth stage startup in administration of environmental quality programs	924	GrowthStage
GrowthStageAdministrationEnvironmentalQualityProgramsStartup	GrowthStage Administration of Environmental Quality Programs Startup	Growth stage startup in administration of environmental quality programs	9241	GrowthStage
GrowthStageAdministrationHousingProgramsUrbanPlanningCommunityDevelopmentStartup	GrowthStage Administration of Housing Programs, Urban Planning, and Community Development Startup	Growth stage startup in administration of housing programs, urban planning, and community development	925	GrowthStage
GrowthStageAdministrationHousingProgramsUrbanPlanningCommunityDevelopmentStartup	GrowthStage Administration of Housing Programs, Urban Planning, and Community Development Startup	Growth stage startup in administration of housing programs, urban planning, and community development	9251	GrowthStage
GrowthStageAdministrationHumanResourceProgramsStartup	GrowthStage Administration of Human Resource Programs Startup	Growth stage startup in administration of human resource programs	923	GrowthStage
GrowthStageAdministrationHumanResourceProgramsStartup	GrowthStage Administration of Human Resource Programs Startup	Growth stage startup in administration of human resource programs	9231	GrowthStage
GrowthStageAdministrativeSupportServicesStartup	GrowthStage Administrative and Support Services Startup	Growth stage startup in administrative and support services	561	GrowthStage
GrowthStageAdministrativeSupportWasteManagementRemediationServicesStartup	GrowthStage Administrative and Support and Waste Management and Remediation Services Startup	Growth stage startup in administrative and support and waste management and remediation services	56	GrowthStage
GrowthStageAdvertisingPublicRelationsRelatedServicesStartup	GrowthStage Advertising, Public Relations, and Related Services Startup	Growth stage startup in advertising, public relations, and related services	5418	GrowthStage
GrowthStageAerospaceProductPartsManufacturingStartup	GrowthStage Aerospace Product and Parts Manufacturing Startup	Growth stage startup in aerospace product and parts manufacturing	3364	GrowthStage
GrowthStageAgenciesBrokeragesOtherInsuranceRelatedActivitiesStartup	GrowthStage Agencies, Brokerages, and Other Insurance Related Activities Startup	Growth stage startup in agencies, brokerages, and other insurance related activities	5242	GrowthStage
GrowthStageAgentsManagersArtistsAthletesEntertainersOtherPublicFiguresStartup	GrowthStage Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures Startup	Growth stage startup in agents and managers for artists, athletes, entertainers, and other public figures	7114	GrowthStage
GrowthStageAgricultureConstructionMiningMachineryManufacturingStartup	GrowthStage Agriculture, Construction, and Mining Machinery Manufacturing Startup	Growth stage startup in agriculture, construction, and mining machinery manufacturing	3331	GrowthStage
GrowthStageAgricultureForestryFishingHuntingStartup	GrowthStage Agriculture, Forestry, Fishing and Hunting Startup	Growth stage startup in agriculture, forestry, fishing and hunting	11	GrowthStage
GrowthStageAirTransportationStartup	GrowthStage Air Transportation Startup	Growth stage startup in air transportation	481	GrowthStage
GrowthStageAllOtherTelecommunicationsStartup	GrowthStage All Other Telecommunications Startup	Growth stage startup in all other telecommunications	5178	GrowthStage
GrowthStageAluminaAluminumProductionProcessingStartup	GrowthStage Alumina and Aluminum Production and Processing Startup	Growth stage startup in alumina and aluminum production and processing	3313	GrowthStage
GrowthStageAmbulatoryHealthCareServicesStartup	GrowthStage Ambulatory Health Care Services Startup	Growth stage startup in ambulatory health care services	621	GrowthStage
GrowthStageAmusementGamblingRecreationIndustriesStartup	GrowthStage Amusement, Gambling, and Recreation Industries Startup	Growth stage startup in amusement, gambling, and recreation industries	713	GrowthStage
GrowthStageAmusementParksArcadesStartup	GrowthStage Amusement Parks and Arcades Startup	Growth stage startup in amusement parks and arcades	7131	GrowthStage
