taskId	occupation
ChiefExecutives.direct.Organization'sFinancialActivities.to.FundOperations	Chief Executives
ChiefExecutives.direct.Organization'sFinancialActivities.to.IncreaseEfficiency	Chief Executives
ChiefExecutives.direct.BudgetActivities.to.FundOperations	Chief Executives
ChiefExecutives.direct.BudgetActivities.to.IncreaseEfficiency	Chief Executives
ChiefExecutives.coordinate.Organization'sFinancialActivities.to.FundOperations	Chief Executives
ChiefExecutives.coordinate.Organization'sFinancialActivities.to.IncreaseEfficiency	Chief Executives
ChiefExecutives.coordinate.BudgetActivities.to.FundOperations	Chief Executives
ChiefExecutives.coordinate.BudgetActivities.to.IncreaseEfficiency	Chief Executives
ChiefExecutives.confer.with.BoardMembers	Chief Executives
ChiefExecutives.confer.with.BoardMembers	Chief Executives
ChiefExecutives.confer.StaffMembers.to.DiscussIssues	Chief Executives
ChiefExecutives.confer.StaffMembers.to.ResolveProblems	Chief Executives
ChiefExecutives.prepare.Budgets.for.Approval	Chief Executives
ChiefExecutives.prepare.Budgets.for.Implementation.of.Programs	Chief Executives
ChiefExecutives.direct	Chief Executives
ChiefExecutives.prepare.Reports.concerning.Activities	Chief Executives
ChiefExecutives.prepare.ProgramServices	Chief Executives
ChiefExecutives.prepare.OtherItemsAffectingBusinessesServices	Chief Executives
ChiefExecutives.prepare.ProgramServices	Chief Executives
ChiefExecutives.prepare.Rulings	Chief Executives
ChiefExecutives.prepare.ProgramServices	Chief Executives
ChiefExecutives.prepare.OtherItemsAffectingBusinessesServices	Chief Executives
ChiefExecutives.prepare.ProgramServices	Chief Executives
ChiefExecutives.present.Reports.concerning.Activities	Chief Executives
ChiefExecutives.present.ProgramServices	Chief Executives
ChiefExecutives.present.OtherItemsAffectingBusinessesServices	Chief Executives
ChiefExecutives.present.ProgramServices	Chief Executives
ChiefExecutives.present.Rulings	Chief Executives
ChiefExecutives.present.ProgramServices	Chief Executives
ChiefExecutives.present.OtherItemsAffectingBusinessesServices	Chief Executives
ChiefExecutives.present.ProgramServices	Chief Executives
ChiefExecutives.implement.CorrectiveActionPlans.to.SolveOrganizationalProblems	Chief Executives
ChiefExecutives.implement.CorrectiveActionPlans.to.DepartmentalProblems	Chief Executives
ChiefExecutives.analyze.Operations.to.EvaluatePerformance.of.CompanyStaff.in.MeetingObjectives.to.DetermineAreas.of.PotentialCostReduction	Chief Executives
ChiefExecutives.analyze.Operations.to.Staff.in.MeetingObjectives.to.DetermineAreas.of.PotentialCostReduction	Chief Executives
ChiefExecutives.direct.Activities.of.BusinessesConcerned.with.Production	Chief Executives
ChiefExecutives.direct.Activities.of.DepartmentsConcerned.with.Production	Chief Executives
ChiefExecutives.coordinate.Activities.of.BusinessesConcerned.with.Production	Chief Executives
ChiefExecutives.coordinate.Activities.of.DepartmentsConcerned.with.Production	Chief Executives
ChiefExecutives.direct.HumanResourcesActivities	Chief Executives
ChiefExecutives.direct.HumanResourcesActivities	Chief Executives
ChiefExecutives.department.HeadsManagersAssignDelegateResponsibilities.to.Them	Chief Executives
ChiefExecutives.interpret.Policies	Chief Executives
ChiefExecutives.explain.Policies	Chief Executives
ChiefExecutives.review.ReportsSubmitted.by.StaffMembers.to.RecommendApprovalSuggestChanges	Chief Executives
ChiefExecutives.review.ReportsSubmitted.by.SuggestChanges	Chief Executives
ChiefExecutives.negotiate.Contracts.with.Suppliers	Chief Executives
ChiefExecutives.negotiate.Contracts.with.StateAgencies	Chief Executives
ChiefExecutives.negotiate.Agreements.with.Suppliers	Chief Executives
ChiefExecutives.negotiate.Agreements.with.StateAgencies	Chief Executives
ChiefExecutives.approve.Contracts.with.Suppliers	Chief Executives
ChiefExecutives.approve.Contracts.with.StateAgencies	Chief Executives
ChiefExecutives.approve.Agreements.with.Suppliers	Chief Executives
ChiefExecutives.approve.Agreements.with.StateAgencies	Chief Executives
ChiefExecutives.establish.DepartmentalResponsibilitiesFunctions.among.Departments	Chief Executives
ChiefExecutives.establish.Sites	Chief Executives
ChiefExecutives.establish.CoordinateFunctions.among.Departments	Chief Executives
ChiefExecutives.establish.Sites	Chief Executives
ChiefExecutives.deliver.Speeches	Chief Executives
ChiefExecutives.deliver.Speeches	Chief Executives
ChiefExecutives.deliver.PresentInformation.at.Meetings.to.PromoteServices	Chief Executives
ChiefExecutives.deliver.PresentInformation.at.Conventions.to.PromoteServices	Chief Executives
ChiefExecutives.serve.AsLiaisons.between.Organizations	Chief Executives
ChiefExecutives.serve.outside.Organizations	Chief Executives
ChiefExecutives.coordinate.Development.of.BudgetaryControlSystems	Chief Executives
ChiefExecutives.coordinate.Development.of.OtherAdministrativeControlProcesses	Chief Executives
ChiefExecutives.coordinate.Implementation.of.BudgetaryControlSystems	Chief Executives
ChiefExecutives.coordinate.Implementation.of.OtherAdministrativeControlProcesses	Chief Executives
ChiefExecutives.serve.on	Chief Executives
ChiefExecutives.participate.in.Meetings.of.MunicipalCouncilsCouncilCommittees	Chief Executives
ChiefExecutives.organize.PromotionalCampaigns	Chief Executives
ChiefExecutives.approve.PromotionalCampaigns	Chief Executives
ChiefExecutives.citizens.to.BoardsCommissions	Chief Executives
ChiefExecutives.conduct.Investigations.to.ResolveComplaints.of.Laws	Chief Executives
ChiefExecutives.conduct.Investigations.to.Violations.of.Laws	Chief Executives
ChiefExecutives.conduct.Hearings.to.ResolveComplaints.of.Laws	Chief Executives
ChiefExecutives.conduct.Hearings.to.Violations.of.Laws	Chief Executives
ChiefExecutives.direct.Investigations.to.ResolveComplaints.of.Laws	Chief Executives
ChiefExecutives.direct.Investigations.to.Violations.of.Laws	Chief Executives
ChiefExecutives.direct.Hearings.to.ResolveComplaints.of.Laws	Chief Executives
ChiefExecutives.direct.Hearings.to.Violations.of.Laws	Chief Executives
ChiefExecutives.direct.Activities.of.BusinessesInvolved.with.BuyingInvestmentProductsFinancialServices	Chief Executives
ChiefExecutives.direct.Activities.of.SellingInvestmentProductsFinancialServices	Chief Executives
ChiefExecutives.coordinate.Activities.of.BusinessesInvolved.with.BuyingInvestmentProductsFinancialServices	Chief Executives
ChiefExecutives.coordinate.Activities.of.SellingInvestmentProductsFinancialServices	Chief Executives
ChiefExecutives.prepare.BylawsApproved.by.ElectedOfficials	Chief Executives
ChiefExecutives.prepare.BylawsApproved.by.EnsureBylawsAreEnforced	Chief Executives
ChiefExecutives.make.Presentations.to.LegislativeGovernmentCommitteesRegardingPolicies	Chief Executives
ChiefExecutives.make.Presentations.to.OtherGovernmentCommitteesRegardingPolicies	Chief Executives
ChiefExecutives.review.Legislation	Chief Executives
ChiefExecutives.analyze.Legislation	Chief Executives
ChiefExecutives.direct.Non	Chief Executives
ChiefExecutives.direct.Accounting	Chief Executives
ChiefExecutives.refer.MajorPolicyMatters.to.ElectedRepresentatives.for.FinalDecisions	Chief Executives
ChiefExecutives.direct.Studies.on.IssuesAffectingAreas.of.Responsibility	Chief Executives
ChiefExecutives.direct.Research.on.IssuesAffectingAreas.of.Responsibility	Chief Executives
ChiefExecutives.conduct.Studies.on.IssuesAffectingAreas.of.Responsibility	Chief Executives
ChiefExecutives.conduct.Research.on.IssuesAffectingAreas.of.Responsibility	Chief Executives
ChiefExecutives.administer.Programs.for.Selection.of.Sites	Chief Executives
ChiefExecutives.administer.Programs.for.Provision.of.EquipmentSupplies	Chief Executives
ChiefExecutives.organizations.PromoteObjectives.at.OfficialFunctions	Chief Executives
ChiefSustainabilityOfficers.monitor.Effectiveness.of.SustainabilityPrograms	Chief Sustainability Officers
ChiefSustainabilityOfficers.evaluate.Effectiveness.of.SustainabilityPrograms	Chief Sustainability Officers
ChiefSustainabilityOfficers.develop.Strategies.to.AddressIssuesSuchAsEnergyUse	Chief Sustainability Officers
ChiefSustainabilityOfficers.develop.Strategies.to.BuildingDesign	Chief Sustainability Officers
ChiefSustainabilityOfficers.execute.Strategies.to.AddressIssuesSuchAsEnergyUse	Chief Sustainability Officers
ChiefSustainabilityOfficers.execute.Strategies.to.BuildingDesign	Chief Sustainability Officers
ChiefSustainabilityOfficers.develop	Chief Sustainability Officers
ChiefSustainabilityOfficers.supervise.EmployeesWorking.on.SustainabilityProjects	Chief Sustainability Officers
ChiefSustainabilityOfficers.supervise.VolunteersWorking.on.SustainabilityProjects	Chief Sustainability Officers
ChiefSustainabilityOfficers.develop.SustainabilityReports	Chief Sustainability Officers
ChiefSustainabilityOfficers.develop.SustainabilityReports	Chief Sustainability Officers
ChiefSustainabilityOfficers.develop.Proposals.for.Supplier	Chief Sustainability Officers
ChiefSustainabilityOfficers.develop.Proposals.for.OtherGroups	Chief Sustainability Officers
ChiefSustainabilityOfficers.develop	Chief Sustainability Officers
ChiefSustainabilityOfficers.identify.PilotProjectsPrograms.to.EnhanceSustainabilityResearchAgenda	Chief Sustainability Officers
ChiefSustainabilityOfficers.evaluate.PilotProjectsPrograms.to.EnhanceSustainabilityResearchAgenda	Chief Sustainability Officers
ChiefSustainabilityOfficers.create.SustainabilityProgramDocuments	Chief Sustainability Officers
ChiefSustainabilityOfficers.maintain.SustainabilityProgramDocuments	Chief Sustainability Officers
ChiefSustainabilityOfficers.formulate.SustainabilityCampaignStrategies	Chief Sustainability Officers
ChiefSustainabilityOfficers.formulate.MarketingStrategies	Chief Sustainability Officers
ChiefSustainabilityOfficers.implement.SustainabilityCampaignStrategies	Chief Sustainability Officers
ChiefSustainabilityOfficers.implement.MarketingStrategies	Chief Sustainability Officers
ChiefSustainabilityOfficers.research.EnvironmentalSustainabilityIssues	Chief Sustainability Officers
ChiefSustainabilityOfficers.research.StakeholderInterests	Chief Sustainability Officers
ChiefSustainabilityOfficers.direct.SustainabilityProgramOperations.to.EnsureCompliance.with.EnvironmentalRegulations	Chief Sustainability Officers
ChiefSustainabilityOfficers.direct.SustainabilityProgramOperations.to.GovernmentalRegulations	Chief Sustainability Officers
ChiefSustainabilityOfficers.evaluate.Proposals.for.SustainabilityProjects	Chief Sustainability Officers
ChiefSustainabilityOfficers.approve.Proposals.for.SustainabilityProjects	Chief Sustainability Officers
ChiefSustainabilityOfficers.develop.Methodologies.to.AssessViability.of.SustainabilityInitiatives	Chief Sustainability Officers
ChiefSustainabilityOfficers.develop.Methodologies.to.Success.of.SustainabilityInitiatives	Chief Sustainability Officers
ChiefSustainabilityOfficers.review.SustainabilityProgramObjectives	Chief Sustainability Officers
ChiefSustainabilityOfficers.review.SustainabilityProgramObjectives	Chief Sustainability Officers
ChiefSustainabilityOfficers.review.Status.to.EnsureCompliance.with.Policies	Chief Sustainability Officers
ChiefSustainabilityOfficers.review.Status.to.Laws	Chief Sustainability Officers
ChiefSustainabilityOfficers.write.FinancialEnvironmentalImpactReports	Chief Sustainability Officers
ChiefSustainabilityOfficers.distribute.FinancialEnvironmentalImpactReports	Chief Sustainability Officers
ChiefSustainabilityOfficers.write.ProjectProposals	Chief Sustainability Officers
ChiefSustainabilityOfficers.write.OtherDocuments.to.PursueFunding.for.EnvironmentalInitiatives	Chief Sustainability Officers
ChiefSustainabilityOfficers.identify.Educational	Chief Sustainability Officers
ChiefSustainabilityOfficers.identify.Educational	Chief Sustainability Officers
ChiefSustainabilityOfficers.identify.OtherDevelopmentOpportunities.for.SustainabilityEmployees	Chief Sustainability Officers
ChiefSustainabilityOfficers.identify.OtherDevelopmentOpportunities.for.Volunteers	Chief Sustainability Officers
ChiefSustainabilityOfficers.conduct.RiskAssessmentsRelated.to.SustainabilityEnvironment	Chief Sustainability Officers
ChiefSustainabilityOfficers.conduct.RiskAssessmentsRelated.to.Environment	Chief Sustainability Officers
GeneralManagers.review.FinancialStatements	General and Operations Managers
GeneralManagers.review.FinancialStatements	General and Operations Managers
GeneralManagers.review.ActivityReports	General and Operations Managers
GeneralManagers.review.ActivityReports	General and Operations Managers
OperationsManagers.review.FinancialStatements	General and Operations Managers
OperationsManagers.review.FinancialStatements	General and Operations Managers
OperationsManagers.review.ActivityReports	General and Operations Managers
OperationsManagers.review.ActivityReports	General and Operations Managers
GeneralManagers.direct.Activities.of.BusinessesDepartmentsConcerned.with.Production	General and Operations Managers
GeneralManagers.coordinate.Activities.of.BusinessesDepartmentsConcerned.with.Production	General and Operations Managers
OperationsManagers.direct.Activities.of.BusinessesDepartmentsConcerned.with.Production	General and Operations Managers
OperationsManagers.coordinate.Activities.of.BusinessesDepartmentsConcerned.with.Production	General and Operations Managers
GeneralManagers.direct.AdministrativeActivitiesDirectlyRelated.to.MakingProductsServices	General and Operations Managers
GeneralManagers.direct.AdministrativeActivitiesDirectlyRelated.to.ProvidingServices	General and Operations Managers
OperationsManagers.direct.AdministrativeActivitiesDirectlyRelated.to.MakingProductsServices	General and Operations Managers
OperationsManagers.direct.AdministrativeActivitiesDirectlyRelated.to.ProvidingServices	General and Operations Managers
GeneralManagers.prepare.StaffWorkSchedulesSpecificDuties	General and Operations Managers
GeneralManagers.prepare.AssignSpecificDuties	General and Operations Managers
OperationsManagers.prepare.StaffWorkSchedulesSpecificDuties	General and Operations Managers
OperationsManagers.prepare.AssignSpecificDuties	General and Operations Managers
GeneralManagers.direct.FinancialActivities.to.FundOperations	General and Operations Managers
GeneralManagers.direct.FinancialActivities.to.IncreaseEfficiency	General and Operations Managers
GeneralManagers.direct.BudgetActivities.to.FundOperations	General and Operations Managers
GeneralManagers.direct.BudgetActivities.to.IncreaseEfficiency	General and Operations Managers
GeneralManagers.coordinate.FinancialActivities.to.FundOperations	General and Operations Managers
GeneralManagers.coordinate.FinancialActivities.to.IncreaseEfficiency	General and Operations Managers
GeneralManagers.coordinate.BudgetActivities.to.FundOperations	General and Operations Managers
GeneralManagers.coordinate.BudgetActivities.to.IncreaseEfficiency	General and Operations Managers
OperationsManagers.direct.FinancialActivities.to.FundOperations	General and Operations Managers
OperationsManagers.direct.FinancialActivities.to.IncreaseEfficiency	General and Operations Managers
OperationsManagers.direct.BudgetActivities.to.FundOperations	General and Operations Managers
OperationsManagers.direct.BudgetActivities.to.IncreaseEfficiency	General and Operations Managers
OperationsManagers.coordinate.FinancialActivities.to.FundOperations	General and Operations Managers
OperationsManagers.coordinate.FinancialActivities.to.IncreaseEfficiency	General and Operations Managers
OperationsManagers.coordinate.BudgetActivities.to.FundOperations	General and Operations Managers
OperationsManagers.coordinate.BudgetActivities.to.IncreaseEfficiency	General and Operations Managers
GeneralManagers.plan.Activities	General and Operations Managers
GeneralManagers.direct.Activities	General and Operations Managers
OperationsManagers.plan.Activities	General and Operations Managers
OperationsManagers.direct.Activities	General and Operations Managers
GeneralManagers.perform.PersonnelFunctions	General and Operations Managers
GeneralManagers.perform.Evaluation	General and Operations Managers
OperationsManagers.perform.PersonnelFunctions	General and Operations Managers
OperationsManagers.perform.Evaluation	General and Operations Managers
GeneralManagers.establish.DepartmentalPolicies	General and Operations Managers
GeneralManagers.establish.DepartmentalPolicies	General and Operations Managers
GeneralManagers.establish.Procedures.in.Conjunction.with.BoardMembers	General and Operations Managers
GeneralManagers.establish.Procedures.in.StaffMembers	General and Operations Managers
GeneralManagers.implement.DepartmentalPolicies	General and Operations Managers
GeneralManagers.implement.DepartmentalPolicies	General and Operations Managers
GeneralManagers.implement.Procedures.in.Conjunction.with.BoardMembers	General and Operations Managers
GeneralManagers.implement.Procedures.in.StaffMembers	General and Operations Managers
OperationsManagers.establish.DepartmentalPolicies	General and Operations Managers
OperationsManagers.establish.DepartmentalPolicies	General and Operations Managers
OperationsManagers.establish.Procedures.in.Conjunction.with.BoardMembers	General and Operations Managers
OperationsManagers.establish.Procedures.in.StaffMembers	General and Operations Managers
OperationsManagers.implement.DepartmentalPolicies	General and Operations Managers
OperationsManagers.implement.DepartmentalPolicies	General and Operations Managers
OperationsManagers.implement.Procedures.in.Conjunction.with.BoardMembers	General and Operations Managers
OperationsManagers.implement.Procedures.in.StaffMembers	General and Operations Managers
GeneralManagers.monitor.Suppliers.to.EnsureTheyEfficientlyProvideNeededGoodsServices.within.BudgetaryLimits	General and Operations Managers
GeneralManagers.monitor.Suppliers.to.EffectivelyProvideNeededGoodsServices.within.BudgetaryLimits	General and Operations Managers
OperationsManagers.monitor.Suppliers.to.EnsureTheyEfficientlyProvideNeededGoodsServices.within.BudgetaryLimits	General and Operations Managers
OperationsManagers.monitor.Suppliers.to.EffectivelyProvideNeededGoodsServices.within.BudgetaryLimits	General and Operations Managers
GeneralManagers.manage.Movement.of.Goods.into.ProductionFacilities.to.EnsureEfficiency	General and Operations Managers
GeneralManagers.manage.Movement.of.Out.of.ProductionFacilities.to.EnsureEfficiency	General and Operations Managers
OperationsManagers.manage.Movement.of.Goods.into.ProductionFacilities.to.EnsureEfficiency	General and Operations Managers
OperationsManagers.manage.Movement.of.Out.of.ProductionFacilities.to.EnsureEfficiency	General and Operations Managers
GeneralManagers.set.PricesTerms.for.GoodsBased.on.Forecasts.of.CustomerDemand	General and Operations Managers
GeneralManagers.set.PricesTerms.for.Services	General and Operations Managers
