id	name	description	code	hotTechnology	inDemand
!trakItSolutions!trakItHr	!Trak-it Solutions !Trak-it HR	Human resources software	43231505	false	false
@roadGeomanager	@Road GeoManager	Materials requirements planning logistics and supply chain software	43231506	false	false
1003UniformResidentialLoanApplication	1003 Uniform Residential Loan Application	Financial analysis software	43231604	false	false
100PlusHatchPatternLibrary	100 Plus Hatch Pattern Library	Pattern design software	43232101	false	false
1099Prossoftware	1099 ProsSoftware	Tax preparation software	43231603	false	false
1cadcamUnigraphics	1CadCam Unigraphics	Computer aided manufacturing CAM software	43232612	false	false
1dNuclearMagneticResonanceNmrProcessor	Advanced Chemistry Development ACD/1D nuclear magnetic resonance NMR processor	Analytical or scientific software	43232605	false	false
1stPricingWindow&DoorToolkit	1ST Pricing Window & Door Toolkit	Procurement software	43231503	false	false
20	Visi-Trak True-Trak 20/20	Computer aided manufacturing CAM software	43232612	false	false
2020Technologies2020Design	20-20 Technologies 20-20 Design	Computer aided design CAD software	43232604	false	false
24sevenofficeProject	24SevenOffice Project	Project management software	43231507	false	false
2abIlockSecurityServices	2AB iLock Security Services	Access software	43232901	false	false
2ClinicalPlanner	PM/2 Clinical Planner	Medical software	43232610	false	false
360AnalyticsEquest	360 Analytics eQUEST	Analytical or scientific software	43232605	false	false
3D	Scientific Software Group MARS 2-D/3-D	Analytical or scientific software	43232605	false	false
3dGraphicDesignSoftware	3D graphic design software	Graphics or photo imaging software	43232102	false	false
3dGraphicsSoftware	3D graphics software	Graphics or photo imaging software	43232102	false	false
3dgridHipaaCheckup	3DGrid HIPAA Checkup	Compliance software	43232606	false	false
3dmapper	3dMapper	Analytical or scientific software	43232605	false	false
3dMotionAnalysisSoftware	3D motion analysis software	Analytical or scientific software	43232605	false	false
3dNatureLlcVisualNatureStudio	3D Nature LLC Visual Nature Studio	Computer aided design CAD software	43232604	false	false
3dNatureLlcWorldConstructionSet	3D Nature LLC World Construction Set	Computer aided design CAD software	43232604	false	false
3dPrintingSoftware	3D Printing software	Computer aided design CAD software	43232604	false	false
3dStaticStrengthPredictionProgram3dsspp	3D Static Strength Prediction Program 3DSSPP	Analytical or scientific software	43232605	false	false
3dSystemsGeomagicDesignX	3D Systems Geomagic Design X	Computer aided design CAD software	43232604	false	false
3dSystemsGibbscam	3D Systems GibbsCAM	Computer aided manufacturing CAM software	43232612	false	false
3dUrbanSimulationModelingSoftware	3D urban simulation modeling software	Computer aided design CAD software	43232604	false	false
3mElectronicMonitoring	3M Electronic Monitoring	Data base user interface and query software	43232306	false	false
3mEncoder	3M Encoder	Categorization or classification software	43232301	false	false
3mPostItApp	3M Post-it App	Word processing software	43232104	false	false
3plCentral	3PL Central	Materials requirements planning logistics and supply chain software	43231506	false	false
400Database	AS/400 Database	Data base user interface and query software	43232306	false	false
4n6xprtSystemsStiffcalcs	4n6xprt Systems StiffCalcs	Computer aided design CAD software	43232604	false	false
5	Basis BBx VisualPRO/5	Graphical user interface development software	43232404	false	false
5amGlassboxTranslationalResearch	5AM Glassbox Translational Research	Data base user interface and query software	43232306	false	false
8020SoftwareLeaders4	80-20 Software Leaders4	Compliance software	43232606	false	false
911SystemInformationDatabases	911 system information databases	Data base user interface and query software	43232306	false	false
A&dTechnologyItest	A&D Technology iTest	Analytical or scientific software	43232605	false	false
A1Law	A1-Law	Data base user interface and query software	43232306	false	false
AabachGraphicSystemsDigra	AABACH Graphic Systems DIGRA	Industrial control software	43232608	false	false
AasofttechWebOrganizationChart	AASoftTech Web Organization Chart	Charting software	43232105	false	false
AbacusDataSolutionsHearware	Abacus Data Solutions HearWare	Medical software	43232610	false	false
AbacusDataSystemsAbacuslaw	Abacus Data Systems AbacusLaw	Data base user interface and query software	43232306	false	false
AbacusnextHotdocs	AbacusNext HotDocs	Document management software	43232202	false	false
AbacusTax	Abacus Tax	Tax preparation software	43231603	false	false
AbbCpm4metals	ABB CPM4Metals	Materials requirements planning logistics and supply chain software	43231506	false	false
AbbMicroscadaProDms	ABB MicroSCADA Pro DMS	Industrial control software	43232608	false	false
AbbMicroscadaProSys	ABB MicroSCADA Pro SYS	Industrial control software	43232608	false	false
AbbOptimizeItPredict&Control	ABB Optimize IT Predict & Control	Facilities management software	43232603	false	false
Abbott	Abbott	Program testing software	43232406	false	false
AbbottInformaticsStarlimsLims	Abbott Informatics STARLIMS:LIMS	Analytical or scientific software	43232605	false	false
AbbottsoftQuickfix	AbbottSoft QuickFix	Data base user interface and query software	43232306	false	false
AbbProductionPlanning	ABB Production Planning	Materials requirements planning logistics and supply chain software	43231506	false	false
AbbPsguard	ABB PSGuard	Industrial control software	43232608	false	false
AbbRobotstudio	ABB RobotStudio	Development environment software	43232402	false	false
AbcAspectbenchCompilerForAspectj	ABC: the AspectBench Compiler for AspectJ	Object or component oriented development software	43232405	false	false
AbcCompiler	ABC Compiler	Development environment software	43232402	false	false
AbcProgrammingLanguage	ABC programming language	Development environment software	43232402	false	false
AbelsoftAbeldent	ABELSoft ABELDent	Medical software	43232610	false	false
AbilisCorisOffenderManagementSystem	Abilis CORIS Offender Management System	Data base user interface and query software	43232306	false	false
AbilityPhotopaint	Ability Photopaint	Graphics or photo imaging software	43232102	false	false
AbInitio	Ab Initio	Enterprise resource planning ERP software	43231602	false	false
AbolManifestSystems	ABOL Manifest Systems	Label making software	43231510	false	false
AbraxasEnergyConsultingMetrix	Abraxas Energy Consulting Metrix	Data base user interface and query software	43232306	false	false
AbsorptionProcessSimulationSoftware	Absorption process simulation software	Analytical or scientific software	43232605	false	false
AbstractionPlusReferencePlusSynthesisA++	Abstraction plus reference plus synthesis A++	Development environment software	43232402	false	false
AbuseManagementSystem	Axonwave Fraud and Abuse Management System	Expert system software	43231511	false	false
AcaclonePdraw32	AcaClone pDRAW32	Analytical or scientific software	43232605	false	false
AcademicEducationalSoftware	Academic educational software	Computer based training software	43232502	false	false
AcardaCallassist	Acarda CallAssist	Expert system software	43231511	false	false
AcardaForbiddencalls	Acarda ForbiddenCalls	Data base user interface and query software	43232306	false	false
AcardaSalesTechnologiesAcardaOutbound	Acarda Sales Technologies Acarda Outbound	Helpdesk or call center software	43231501	false	false
AcastatSoftware	AcaStat Software	Analytical or scientific software	43232605	false	false
AccaManualJ	ACCA Manual J	Analytical or scientific software	43232605	false	false
AccelaKivaDms	Accela KIVA DMS	Enterprise resource planning ERP software	43231602	false	false
AccelaPermitsPlus	Accela PERMITS Plus	Compliance software	43232606	false	false
AccelaTidemarkAdvantage	Accela Tidemark Advantage	Compliance software	43232606	false	false
AcceleratedLifeTestingSoftware	Accelerated life testing software	Analytical or scientific software	43232605	false	false
AccellosRealDispatch	Accellos Real Dispatch	Mobile location based services software	43233511	false	false
AccelrysCerius2	Accelrys Cerius2	Analytical or scientific software	43232605	false	false
AccelrysDecipher	Accelrys DeCipher	Analytical or scientific software	43232605	false	false
AccelrysFelix	Accelrys FELIX	Analytical or scientific software	43232605	false	false
AccelrysInsightIi	Accelrys Insight II	Computer aided design CAD software	43232604	false	false
AccelrysMaterialsStudio	Accelrys Materials Studio	Analytical or scientific software	43232605	false	false
AccelrysPipelinePilot	Accelrys Pipeline Pilot	Analytical or scientific software	43232605	false	false
AccelrysQaunta	Accelrys QAUNTA	Analytical or scientific software	43232605	false	false
AccessdataFtk	AccessData FTK	Network monitoring software	43232801	false	false
AccessManagementSoftware	Access management software	Access software	43232901	false	false
AccessSoftwareAirpax	Access Software AIRPAX	Facilities management software	43232603	false	false
AcclaimLegalAcclaimDepomanage	Acclaim Legal Acclaim DepoManage	Data base user interface and query software	43232306	false	false
AccountantsTemplatesJazzIt!	Accountants Templates JAZZ-It!	Enterprise resource planning ERP software	43231602	false	false
AccountantsworldPayrollRelief	AccountantsWorld Payroll Relief	Accounting software	43231601	false	false
AccountingComplianceSoftware	Accounting compliance software	Compliance software	43232606	false	false
AccountingFraudDetectionSoftware	Accounting fraud detection software	Financial analysis software	43231604	false	false
AccountingSoftware	Accounting software	Accounting software	43231601	false	false
AccountingSoftwareByR*komInvoiceWriter	Automotive and Accounting Software by R*KOM Invoice Writer	Point of sale POS software	43232611	false	false
AccountManagementSoftware	Account management software	Accounting software	43231601	false	false
AccountmateSoftwareAccountmate	AccountMate Software AccountMate	Accounting software	43231601	false	false
AccountsPayableSoftware	Accounts payable software	Accounting software	43231601	false	false
AccountsReceivableSoftware	Accounts receivable software	Accounting software	43231601	false	false
AccountsReceivablesSystemSoftware	Accounts receivables system software	Accounting software	43231601	false	false
AccraMedSoftwareFilopto	Accra Med Software Filopto	Medical software	43232610	false	false
Accucert	ACCUCert	Compliance software	43232606	false	false
AccuityEpicware	Accuity EPICWare	Financial analysis software	43231604	false	false
AcculawCourtReportersBillingSchedulingJobManagementSystemAbsms	Acculaw Court Reporters Billing Scheduling Job Management System ABSMS	Enterprise resource planning ERP software	43231602	false	false
AccurateNxg	Accurate NXG	Accounting software	43231601	false	false
AccushipStarSystem	Accuship Star System	Materials requirements planning logistics and supply chain software	43231506	false	false
AccutechSystemsCorporationAccufarmMgr	Accutech Systems Corporation AccuFarm-MGR	Enterprise resource planning ERP software	43231602	false	false
AccuweatherGalileo	AccuWeather Galileo	Graphics or photo imaging software	43232102	false	false
AccvisionAbmis	Accvision ABMIS	Inventory management software	43231508	false	false
