ns	from	to	predicate	reverse
onet	chief-executives	10-key-calculators	uses	usedBy
onet	chief-executives	desktop-computers	uses	usedBy
onet	chief-executives	laptop-computers	uses	usedBy
onet	chief-executives	personal-computers	uses	usedBy
onet	chief-executives	personal-digital-assistants-pda	uses	usedBy
onet	chief-executives	smartphones	uses	usedBy
onet	chief-executives	universal-serial-bus-usb-flash-drives	uses	usedBy
onet	chief-sustainability-officers	10-key-calculators	uses	usedBy
onet	chief-sustainability-officers	computer-data-input-scanners	uses	usedBy
onet	chief-sustainability-officers	desktop-computers	uses	usedBy
onet	chief-sustainability-officers	handheld-computers	uses	usedBy
onet	chief-sustainability-officers	laptop-computers	uses	usedBy
onet	chief-sustainability-officers	multi-line-telephone-systems	uses	usedBy
onet	chief-sustainability-officers	personal-computers	uses	usedBy
onet	chief-sustainability-officers	photocopying-equipment	uses	usedBy
onet	chief-sustainability-officers	smartphones	uses	usedBy
onet	chief-sustainability-officers	video-teleconferencing-systems	uses	usedBy
onet	general-and-operations-managers	10-key-calculators	uses	usedBy
onet	general-and-operations-managers	cell-phones	uses	usedBy
onet	general-and-operations-managers	computer-scanners	uses	usedBy
onet	general-and-operations-managers	credit-card-processing-machines	uses	usedBy
onet	general-and-operations-managers	desktop-computers	uses	usedBy
onet	general-and-operations-managers	digital-cameras	uses	usedBy
onet	general-and-operations-managers	handtrucks	uses	usedBy
onet	general-and-operations-managers	humidity-test-chambers	uses	usedBy
onet	general-and-operations-managers	laptop-computers	uses	usedBy
onet	general-and-operations-managers	magnetic-card-readers	uses	usedBy
onet	general-and-operations-managers	personal-computers	uses	usedBy
onet	general-and-operations-managers	personal-digital-assistants-pda	uses	usedBy
onet	general-and-operations-managers	photocopying-equipment	uses	usedBy
onet	general-and-operations-managers	point-of-sale-pos-systems	uses	usedBy
onet	general-and-operations-managers	profilometers	uses	usedBy
onet	general-and-operations-managers	spectrometers	uses	usedBy
onet	general-and-operations-managers	surveillance-cameras	uses	usedBy
onet	general-and-operations-managers	vacuum-test-chambers	uses	usedBy
onet	legislators	computer-laser-printers	uses	usedBy
onet	legislators	laptop-computers	uses	usedBy
onet	legislators	tablet-computers	uses	usedBy
onet	legislators	wireless-desktop-printers	uses	usedBy
onet	advertising-and-promotions-managers	computer-data-input-scanners	uses	usedBy
onet	advertising-and-promotions-managers	desktop-computers	uses	usedBy
onet	advertising-and-promotions-managers	handheld-computers	uses	usedBy
onet	advertising-and-promotions-managers	laptop-computers	uses	usedBy
onet	advertising-and-promotions-managers	laser-facsimile-machines	uses	usedBy
onet	advertising-and-promotions-managers	multi-line-telephone-systems	uses	usedBy
onet	advertising-and-promotions-managers	notebook-computers	uses	usedBy
onet	advertising-and-promotions-managers	personal-computers	uses	usedBy
onet	advertising-and-promotions-managers	personal-digital-assistants-pda	uses	usedBy
onet	advertising-and-promotions-managers	photocopying-equipment	uses	usedBy
onet	advertising-and-promotions-managers	scanners	uses	usedBy
onet	advertising-and-promotions-managers	tablet-computers	uses	usedBy
onet	marketing-managers	desktop-computers	uses	usedBy
onet	marketing-managers	laser-facsimile-machines	uses	usedBy
onet	marketing-managers	notebook-computers	uses	usedBy
onet	marketing-managers	personal-computers	uses	usedBy
onet	marketing-managers	personal-digital-assistants-pda	uses	usedBy
onet	marketing-managers	photocopiers	uses	usedBy
onet	marketing-managers	scanners	uses	usedBy
onet	marketing-managers	tablet-computers	uses	usedBy
onet	sales-managers	desktop-computers	uses	usedBy
onet	sales-managers	notebook-computers	uses	usedBy
onet	sales-managers	personal-computers	uses	usedBy
onet	sales-managers	scanners	uses	usedBy
onet	sales-managers	tablet-computers	uses	usedBy
onet	public-relations-managers	computer-scanners	uses	usedBy
onet	public-relations-managers	desktop-computers	uses	usedBy
onet	public-relations-managers	laptop-computers	uses	usedBy
onet	public-relations-managers	multi-line-telephone-systems	uses	usedBy
onet	public-relations-managers	personal-computers	uses	usedBy
onet	public-relations-managers	photocopying-equipment	uses	usedBy
onet	fundraising-managers	computer-scanners	uses	usedBy
onet	fundraising-managers	desktop-computers	uses	usedBy
onet	fundraising-managers	laptop-computers	uses	usedBy
onet	fundraising-managers	multi-line-telephone-systems	uses	usedBy
onet	fundraising-managers	personal-computers	uses	usedBy
onet	fundraising-managers	photocopying-equipment	uses	usedBy
onet	administrative-services-managers	10-key-calculators	uses	usedBy
onet	administrative-services-managers	desktop-computers	uses	usedBy
onet	administrative-services-managers	laptop-computers	uses	usedBy
onet	administrative-services-managers	laser-facsimile-machines	uses	usedBy
onet	administrative-services-managers	mobile-phones	uses	usedBy
onet	administrative-services-managers	multi-line-telephone-systems	uses	usedBy
onet	administrative-services-managers	notebook-computers	uses	usedBy
onet	administrative-services-managers	personal-computers	uses	usedBy
onet	administrative-services-managers	personal-digital-assistants-pda	uses	usedBy
onet	administrative-services-managers	photocopying-equipment	uses	usedBy
onet	administrative-services-managers	scanners	uses	usedBy
onet	administrative-services-managers	tablet-computers	uses	usedBy
onet	facilities-managers	10-key-calculators	uses	usedBy
onet	facilities-managers	desktop-computers	uses	usedBy
onet	facilities-managers	laptop-computers	uses	usedBy
onet	facilities-managers	laser-facsimile-machines	uses	usedBy
onet	facilities-managers	mobile-phones	uses	usedBy
onet	facilities-managers	multi-line-telephone-systems	uses	usedBy
onet	facilities-managers	notebook-computers	uses	usedBy
onet	facilities-managers	personal-computers	uses	usedBy
onet	facilities-managers	photocopying-equipment	uses	usedBy
onet	facilities-managers	scanners	uses	usedBy
onet	facilities-managers	tablet-computers	uses	usedBy
onet	security-managers	approach-detection-systems	uses	usedBy
onet	security-managers	computer-laser-printers	uses	usedBy
onet	security-managers	explosives-detectors	uses	usedBy
onet	security-managers	fire-alarm-systems	uses	usedBy
onet	security-managers	keyless-entry-systems	uses	usedBy
onet	security-managers	laptop-computers	uses	usedBy
onet	security-managers	multiline-telephone-systems	uses	usedBy
onet	security-managers	personal-computers	uses	usedBy
onet	security-managers	physical-access-control-systems	uses	usedBy
onet	security-managers	security-alarm-systems	uses	usedBy
onet	security-managers	teleconferencing-equipment	uses	usedBy
onet	security-managers	video-surveillance-systems	uses	usedBy
onet	security-managers	videoconferencing-equipment	uses	usedBy
onet	computer-and-information-systems-managers	access-servers	uses	usedBy
onet	computer-and-information-systems-managers	computer-servers	uses	usedBy
onet	computer-and-information-systems-managers	computer-tool-kits	uses	usedBy
onet	computer-and-information-systems-managers	file-servers	uses	usedBy
onet	computer-and-information-systems-managers	industry-standard-architectureperipheral-component-interconnect-isapci-cards	uses	usedBy
onet	computer-and-information-systems-managers	inkjet-printers	uses	usedBy
onet	computer-and-information-systems-managers	internet-information-services-iis-servers	uses	usedBy
onet	computer-and-information-systems-managers	laser-facsimile-machines	uses	usedBy
onet	computer-and-information-systems-managers	laser-printers	uses	usedBy
onet	computer-and-information-systems-managers	mainframe-computers	uses	usedBy
onet	computer-and-information-systems-managers	mid-range-computers	uses	usedBy
onet	computer-and-information-systems-managers	minicomputers	uses	usedBy
onet	computer-and-information-systems-managers	netware-servers	uses	usedBy
onet	computer-and-information-systems-managers	network-analyzers	uses	usedBy
onet	computer-and-information-systems-managers	network-interface-cards-nic	uses	usedBy
onet	computer-and-information-systems-managers	network-routers	uses	usedBy
onet	computer-and-information-systems-managers	network-switches	uses	usedBy
onet	computer-and-information-systems-managers	personal-computers	uses	usedBy
onet	computer-and-information-systems-managers	photocopiers	uses	usedBy
onet	computer-and-information-systems-managers	print-servers	uses	usedBy
onet	computer-and-information-systems-managers	punchdown-tools	uses	usedBy
onet	computer-and-information-systems-managers	robot-automation-tool	uses	usedBy
onet	computer-and-information-systems-managers	screwdrivers	uses	usedBy
onet	computer-and-information-systems-managers	storage-servers	uses	usedBy
onet	computer-and-information-systems-managers	teleconferencing-equipment	uses	usedBy
onet	computer-and-information-systems-managers	web-servers	uses	usedBy
onet	computer-and-information-systems-managers	workstations	uses	usedBy
onet	financial-managers	10-key-calculators	uses	usedBy
onet	financial-managers	desktop-computers	uses	usedBy
onet	financial-managers	notebook-computers	uses	usedBy
onet	financial-managers	personal-computers	uses	usedBy
onet	financial-managers	personal-digital-assistants-pda	uses	usedBy
onet	financial-managers	scanners	uses	usedBy
onet	financial-managers	tablet-computers	uses	usedBy
onet	treasurers-and-controllers	10-key-calculators	uses	usedBy
onet	treasurers-and-controllers	desktop-computers	uses	usedBy
onet	treasurers-and-controllers	notebook-computers	uses	usedBy
onet	treasurers-and-controllers	personal-computers	uses	usedBy
onet	treasurers-and-controllers	personal-digital-assistants-pda	uses	usedBy
onet	treasurers-and-controllers	tablet-computers	uses	usedBy
onet	investment-fund-managers	desktop-computers	uses	usedBy
onet	investment-fund-managers	laptop-computers	uses	usedBy
onet	investment-fund-managers	multiline-telephone-systems	uses	usedBy
onet	investment-fund-managers	personal-computers	uses	usedBy
onet	investment-fund-managers	teleconferencing-equipment	uses	usedBy
onet	investment-fund-managers	videoconferencing-equipment	uses	usedBy
onet	industrial-production-managers	air-samplers	uses	usedBy
onet	industrial-production-managers	all-terrain-vehicles-atv	uses	usedBy
onet	industrial-production-managers	combustible-gas-monitors	uses	usedBy
onet	industrial-production-managers	desktop-computers	uses	usedBy
onet	industrial-production-managers	diesel-reciprocating-engine-generator-sets	uses	usedBy
onet	industrial-production-managers	enclosed-flares	uses	usedBy
onet	industrial-production-managers	forklifts	uses	usedBy
onet	industrial-production-managers	gas-leak-detectors	uses	usedBy
onet	industrial-production-managers	gas-reciprocating-engine-generator-sets	uses	usedBy
onet	industrial-production-managers	micro-anemometers	uses	usedBy
onet	industrial-production-managers	multiple-gas-monitors	uses	usedBy
onet	industrial-production-managers	notebook-computers	uses	usedBy
onet	industrial-production-managers	open-flares	uses	usedBy
onet	industrial-production-managers	oxygen-analyzers	uses	usedBy
onet	industrial-production-managers	personal-computers	uses	usedBy
onet	industrial-production-managers	personal-digital-assistants-pda	uses	usedBy
onet	industrial-production-managers	pressure-gauges	uses	usedBy
onet	industrial-production-managers	pressure-valves	uses	usedBy
onet	industrial-production-managers	scanners	uses	usedBy
onet	industrial-production-managers	squares	uses	usedBy
onet	industrial-production-managers	tablet-computers	uses	usedBy
onet	industrial-production-managers	tape-measures	uses	usedBy
onet	industrial-production-managers	taper-gauges	uses	usedBy
onet	industrial-production-managers	utility-trucks	uses	usedBy
onet	industrial-production-managers	vernier-calipers	uses	usedBy
onet	quality-control-systems-managers	automated-diluters	uses	usedBy
onet	quality-control-systems-managers	automated-microplate-elisa-readers	uses	usedBy
onet	quality-control-systems-managers	cellular-assay-equipment	uses	usedBy
onet	quality-control-systems-managers	computer-inkjet-printers	uses	usedBy
onet	quality-control-systems-managers	electrophoresis-equipment	uses	usedBy
onet	quality-control-systems-managers	fourier-transfer-infrared-ftir-spectrometers	uses	usedBy
onet	quality-control-systems-managers	gas-chromatography-equipment	uses	usedBy
onet	quality-control-systems-managers	handheld-data-collectors	uses	usedBy
onet	quality-control-systems-managers	infrared-spectroscopic-equipment	uses	usedBy
onet	quality-control-systems-managers	laboratory-analytical-balances	uses	usedBy
onet	quality-control-systems-managers	laboratory-benchtop-centrifuges	uses	usedBy
onet	quality-control-systems-managers	laboratory-extraction-equipment	uses	usedBy
onet	quality-control-systems-managers	laboratory-moisture-balances	uses	usedBy
onet	quality-control-systems-managers	laptop-computers	uses	usedBy
onet	quality-control-systems-managers	liquid-chromatography-equipment	uses	usedBy
onet	quality-control-systems-managers	personal-computers	uses	usedBy
onet	quality-control-systems-managers	ph-analyzers	uses	usedBy
onet	quality-control-systems-managers	titrators	uses	usedBy
onet	geothermal-production-managers	dataloggers	uses	usedBy
onet	geothermal-production-managers	desktop-computers	uses	usedBy
onet	geothermal-production-managers	diesel-powered-generators	uses	usedBy
onet	geothermal-production-managers	forklifts	uses	usedBy
onet	geothermal-production-managers	laptop-computers	uses	usedBy
onet	geothermal-production-managers	large-volume-water-pumps	uses	usedBy
onet	geothermal-production-managers	material-moving-cranes	uses	usedBy
onet	geothermal-production-managers	mobile-radios	uses	usedBy
onet	geothermal-production-managers	multi-line-telephone-systems	uses	usedBy
onet	geothermal-production-managers	personal-computers	uses	usedBy
onet	geothermal-production-managers	programmable-logic-controllers-plc	uses	usedBy
onet	biofuels-production-managers	air-monitoring-equipment	uses	usedBy
onet	biofuels-production-managers	ball-valves	uses	usedBy
onet	biofuels-production-managers	belt-conveyor-systems	uses	usedBy
onet	biofuels-production-managers	desktop-computers	uses	usedBy
onet	biofuels-production-managers	dust-and-particulate-respirators	uses	usedBy
onet	biofuels-production-managers	electric-timing-devices	uses	usedBy
onet	biofuels-production-managers	emergency-alarm-systems	uses	usedBy
onet	biofuels-production-managers	fermentation-processing-vessels	uses	usedBy
onet	biofuels-production-managers	flow-control-valves-fcv	uses	usedBy
onet	biofuels-production-managers	forklifts	uses	usedBy
onet	biofuels-production-managers	gate-butterfly-valves	uses	usedBy
onet	biofuels-production-managers	glass-graduated-cylinders	uses	usedBy
onet	biofuels-production-managers	gravity-convection-ovens	uses	usedBy
onet	biofuels-production-managers	hand-sampling-pumps	uses	usedBy
onet	biofuels-production-managers	hazardous-material-spill-kits	uses	usedBy
onet	biofuels-production-managers	mobile-radios	uses	usedBy
onet	biofuels-production-managers	moisture-analyzers	uses	usedBy
onet	biofuels-production-managers	mole-sieves	uses	usedBy
onet	biofuels-production-managers	personal-computers	uses	usedBy
onet	biofuels-production-managers	ph-probes	uses	usedBy
onet	biofuels-production-managers	reaction-flasks	uses	usedBy
onet	biofuels-production-managers	sample-ports	uses	usedBy
onet	biofuels-production-managers	self-contained-breathing-apparatus	uses	usedBy
onet	biofuels-production-managers	stop-valves	uses	usedBy
onet	biofuels-production-managers	throttle-control-valves-tcv	uses	usedBy
onet	biomass-power-plant-managers	biomass-boilers	uses	usedBy
onet	biomass-power-plant-managers	bubbling-fluidized-bed-boilers	uses	usedBy
onet	biomass-power-plant-managers	circulating-fluidized-bed-boilers	uses	usedBy
onet	biomass-power-plant-managers	cooling-towers	uses	usedBy
onet	biomass-power-plant-managers	desktop-computers	uses	usedBy
onet	biomass-power-plant-managers	heat-recovery-steam-generators	uses	usedBy
onet	biomass-power-plant-managers	laptop-computers	uses	usedBy
onet	biomass-power-plant-managers	personal-computers	uses	usedBy
onet	biomass-power-plant-managers	radial-stackers	uses	usedBy
onet	biomass-power-plant-managers	steam-boilers	uses	usedBy
onet	biomass-power-plant-managers	steam-turbines	uses	usedBy
onet	biomass-power-plant-managers	water-samplers	uses	usedBy
onet	biomass-power-plant-managers	wood-feed-systems	uses	usedBy
onet	hydroelectric-production-managers	dam-water-flow-controls	uses	usedBy
onet	hydroelectric-production-managers	desktop-computers	uses	usedBy
onet	hydroelectric-production-managers	electrical-circuit-breakers	uses	usedBy
onet	hydroelectric-production-managers	electrical-switch-gear	uses	usedBy
onet	hydroelectric-production-managers	hydraulic-power-generation-equipment	uses	usedBy
onet	hydroelectric-production-managers	hydroelectric-power-generator-controls	uses	usedBy
onet	hydroelectric-production-managers	impulse-turbines	uses	usedBy
onet	hydroelectric-production-managers	laptop-computers	uses	usedBy
onet	hydroelectric-production-managers	mobile-radios	uses	usedBy
onet	hydroelectric-production-managers	personal-computers	uses	usedBy
onet	hydroelectric-production-managers	power-transformers	uses	usedBy
onet	hydroelectric-production-managers	protective-ear-muffs	uses	usedBy
onet	hydroelectric-production-managers	protective-respirators	uses	usedBy
onet	hydroelectric-production-managers	reaction-turbines	uses	usedBy
onet	hydroelectric-production-managers	safety-glasses	uses	usedBy
onet	hydroelectric-production-managers	turbine-generators	uses	usedBy
onet	purchasing-managers	10-key-calculators	uses	usedBy
onet	purchasing-managers	desktop-computers	uses	usedBy
onet	purchasing-managers	personal-computers	uses	usedBy
onet	transportation-storage-and-distribution-managers	barcode-scanners	uses	usedBy
onet	transportation-storage-and-distribution-managers	barcoding-labels	uses	usedBy
onet	transportation-storage-and-distribution-managers	cell-phones	uses	usedBy
onet	transportation-storage-and-distribution-managers	desktop-computers	uses	usedBy
onet	transportation-storage-and-distribution-managers	digital-cameras	uses	usedBy
onet	transportation-storage-and-distribution-managers	forklifts	uses	usedBy
onet	transportation-storage-and-distribution-managers	global-positioning-systems-gps	uses	usedBy
onet	transportation-storage-and-distribution-managers	laptop-computers	uses	usedBy
onet	transportation-storage-and-distribution-managers	laser-facsimile-machines	uses	usedBy
onet	transportation-storage-and-distribution-managers	multi-line-telephone-systems	uses	usedBy
onet	transportation-storage-and-distribution-managers	pallet-jacks	uses	usedBy
onet	transportation-storage-and-distribution-managers	personal-computers	uses	usedBy
onet	transportation-storage-and-distribution-managers	personal-digital-assistants-pda	uses	usedBy
onet	transportation-storage-and-distribution-managers	personal-protective-equipment	uses	usedBy
onet	transportation-storage-and-distribution-managers	photocopiers	uses	usedBy
onet	transportation-storage-and-distribution-managers	radio-frequency-handheld-terminals	uses	usedBy
onet	transportation-storage-and-distribution-managers	radio-frequency-identification-rfid-devices	uses	usedBy
onet	transportation-storage-and-distribution-managers	radio-frequency-truck-mounted-terminals	uses	usedBy
onet	transportation-storage-and-distribution-managers	wireless-communication-and-satellite-positioning-tools	uses	usedBy
onet	supply-chain-managers	laptop-computers	uses	usedBy
onet	supply-chain-managers	laser-facsimile-machines	uses	usedBy
onet	supply-chain-managers	personal-computers	uses	usedBy
onet	supply-chain-managers	radio-frequency-identification-rfid-scanners	uses	usedBy
onet	compensation-and-benefits-managers	10-key-calculators	uses	usedBy
onet	compensation-and-benefits-managers	desktop-computers	uses	usedBy
onet	compensation-and-benefits-managers	laptop-computers	uses	usedBy
onet	compensation-and-benefits-managers	liquid-crystal-display-lcd-video-projectors	uses	usedBy
onet	compensation-and-benefits-managers	notebook-computers	uses	usedBy
onet	compensation-and-benefits-managers	optical-disk-drives	uses	usedBy
onet	compensation-and-benefits-managers	personal-computers	uses	usedBy
onet	compensation-and-benefits-managers	personal-digital-assistants-pda	uses	usedBy
