id	name	description	code
.40CaliberSemiAutomaticPistols	.40 caliber semi-automatic pistols	.40 caliber semi-automatic pistols	46101504
01DropIndicators	0-1 drop indicators	0-1 drop indicators	41111621
1	1/3 octave equalizers	1/3 octave equalizers	52161517
100FootMeasuringTapes	100-foot measuring tapes	100-foot measuring tapes	41114201
10KeyCalculators	10-key calculators	10-key calculators	44101809
10MlPipettes	10 ml pipettes	10 ml pipettes	41121513
10TonCrawlers	10-ton crawlers	10-ton crawlers	24101621
10TonTandemAxleDumpTrucks	10-ton tandem-axle dump trucks	10-ton tandem-axle dump trucks	25101601
123Blocks	1-2-3 blocks	1-2-3 blocks	41111618
12ChannelPipettes	8 and 12 channel pipettes	8 and 12 channel pipettes	41121508
12GaugeShotguns	12-gauge shotguns	12-gauge shotguns	46101502
12InchAluminumKemperCalipers	12-inch aluminum Kemper calipers	12-inch aluminum Kemper calipers	41111621
12PoundSledgeHammers	12 pound sledge hammers	12 pound sledge hammers	27111602
1300023000PoundGraders	13000-23000 pound graders	13000-23000 pound graders	22101502
13cNuclearMagneticResonanceNmrSpectrometers	13C nuclear magnetic resonance NMR spectrometers	13C nuclear magnetic resonance NMR spectrometers	41115409
15	15/16 wrenches	15/16 wrenches	27111706
15TonTruckCranes	15-ton truck cranes	15-ton truck cranes	24101625
16mmMotionPictureProjectors	16mm motion picture projectors	16mm motion picture projectors	45111608
16PoundSledgeHammers	16 pound sledge hammers	16 pound sledge hammers	27111602
16Wrenches	15/16 wrenches	15/16 wrenches	27111706
18TonHydraulicCranes	18-ton hydraulic cranes	18-ton hydraulic cranes	24101624
1MlPipettes	1 ml pipettes	1 ml pipettes	41121513
2	2/3 axis computer numerically controlled CNC milling machines	2/3 axis computer numerically controlled CNC milling machines	23242506
20TonTractors	20-ton tractors	20-ton tractors	25101901
22GaugeNeedles	22-gauge needles	22-gauge needles	42142523
23	23	23	60121601
25MlPipettes	25 ml pipettes	25 ml pipettes	41121513
2ChannelLabScopes	2-channel lab scopes	2-channel lab scopes	41113630
2MlCryovials	2 ml cryovials	2 ml cryovials	41121806
2PointSprayers	2-point sprayers	2-point sprayers	21101801
2ProngStrainers	2-prong strainers	2-prong strainers	48101812
30TonClamBuckets	30-ton clam buckets	30-ton clam buckets	22101702
34	3, 4, and 5 stopcock manifolds	3, 4, and 5 stopcock manifolds	42294713
35MillimeterCameras	35 millimeter cameras	35 millimeter cameras	45121501
35mPetriDishes	35m petri dishes	35m petri dishes	41122101
3AxisComputerizedNumericalControlCncMachines	3-axis computerized numerical control CNC machines	3-axis computerized numerical control CNC machines	23242506
3AxisComputerNumericallyControlledCncMillingMachines	3-axis computer numerically controlled CNC milling machines	3-axis computer numerically controlled CNC milling machines	23101513
3dLaserScanningSystems	3D laser scanning systems	3D laser scanning systems	41111615
3dMovementAnalysisSystems	3D movement analysis systems	3D movement analysis systems	49211819
3dScanningSystems	3D scanning systems	3D scanning systems	43211711
3dSonographyEquipment	3D sonography equipment	3D sonography equipment	42201713
3OctaveEqualizers	1/3 octave equalizers	1/3 octave equalizers	52161517
3PieceCocktailShakers	3-piece cocktail shakers	3-piece cocktail shakers	48101713
3PointSprayers	3-point sprayers	3-point sprayers	21101801
3PoundSledgeHammers	3 pound sledge hammers	3 pound sledge hammers	27111602
3tScanners	3T scanners	3T scanners	42201609
3WayScrewdrivers	3-way screwdrivers	3-way screwdrivers	27111728
400MaintenanceManagementSystem	LTB/400 maintenance management system	LTB/400 maintenance management system	25191503
46TonRollerPatchers	4-6 ton roller patchers	4-6 ton roller patchers	22101505
4MlCryovials	4 ml cryovials	4 ml cryovials	41121806
4PieceCocktailShakers	4-piece cocktail shakers	4-piece cocktail shakers	48101713
4ProngStrainers	4-prong strainers	4-prong strainers	48101812
4RangerTowerTrucks	4-ranger tower trucks	4-ranger tower trucks	24101623
4WayTireValveTools	4-way tire valve tools	4-way tire valve tools	27111714
4WellLensHolders	4-well lens holders	4-well lens holders	42294520
4WireResistanceSensors	4-wire resistance sensors	4-wire resistance sensors	41113635
5AxisLathes	5 axis lathes	5 axis lathes	23242304
5GasEmissionsAnalyzers	5-gas emissions analyzers	5-gas emissions analyzers	41113118
5PartDifferentialAutomatedHematologyAnalyzers	5-part differential automated hematology analyzers	5-part differential automated hematology analyzers	41115815
5PoundSledgeHammers	5 pound sledge hammers	5 pound sledge hammers	27111602
5StopcockManifolds	3, 4, and 5 stopcock manifolds	3, 4, and 5 stopcock manifolds	42294713
6InchPlasticCalipers	6-inch plastic calipers	6-inch plastic calipers	41111621
8	8 and 12 channel pipettes	8 and 12 channel pipettes	41121508
8AxisLathes	8 axis lathes	8 axis lathes	23242304
8ChannelElectronicPipettes	8-channel electronic pipettes	8-channel electronic pipettes	41121508
8mmMotionPictureProjectors	8mm motion picture projectors	8mm motion picture projectors	45111608
8PoundSledgeHammers	8 pound sledge hammers	8 pound sledge hammers	27111602
8TonDumpTrucks	8-ton dump trucks	8-ton dump trucks	25101601
8WellLensFlippers	8-well lens flippers	8-well lens flippers	42294520
AbbeRefractometers	Abbe refractometers	Abbe refractometers	41115312
AbdominalBinders	Abdominal binders	Abdominal binders	42312502
AbdominalRetractors	Abdominal retractors	Abdominal retractors	42293107
AbneyLevels	Abney levels	Abney levels	41111614
AboveKneeProsthetics	Above-the-knee prosthetics	Above-the-knee prosthetics	42242001
AbrasionTesters	Abrasion testers	Abrasion testers	41114601
AbrasiveBlades	Abrasive blades	Abrasive blades	27112802
AbrasiveBlastingMachines	Abrasive blasting machines	Abrasive blasting machines	23241701
AbrasiveCutoffSaws	Abrasive cutoff saws	Abrasive cutoff saws	27112709
AbrasiveDiscWheels	Abrasive disc wheels	Abrasive disc wheels	31191506
AbrasiveGrindingMachines	Abrasive grinding machines	Abrasive grinding machines	27112704
AbrasiveRubbingStones	Abrasive rubbing stones	Abrasive rubbing stones	31191510
AbrasiveStones	Abrasive stones	Abrasive stones	31191510
AbrasiveWheels	Abrasive wheels	Abrasive wheels	31191519
AbsoluteGravimeters	Absolute gravimeters	Absolute gravimeters	41113808
AbsorbanceSpectrophotometers	Absorbance spectrophotometers	Absorbance spectrophotometers	41115406
Absorbers	Absorbers	Absorbers	47131907
AbsorptionDynamometers	Absorption dynamometers	Absorption dynamometers	41114501
AbsorptionEquipment	Absorption equipment	Absorption equipment	47101503
AbsorptionTubes	Absorption tubes	Absorption tubes	41115720
AbutmentDrivers	Abutment drivers	Abutment drivers	42151630
Ac	AC/DC welding power units	AC/DC welding power units	23271709
AcceleratedAgeingTesters	Accelerated ageing testers	Accelerated ageing testers	41104503
AcceleratedWeatheringMachines	Accelerated weathering machines	Accelerated weathering machines	41104503
Accelerometers	Accelerometers	Accelerometers	41113639
AccelerometerSensors	Accelerometer sensors	Accelerometer sensors	41111921
AccessControlSystems	Access control systems	Access control systems	46171619
AccessServers	Access servers	Access servers	43222625
AccommodationLadder	Accommodation ladder	Accommodation ladder	30191501
Accordions	Accordions	Accordions	60131002
AccumulatorSystems	Accumulator systems	Accumulator systems	20121502
AcetyleneTorches	Acetylene torches	Acetylene torches	23271702
AcetyleneWeldingEquipment	Acetylene welding equipment	Acetylene welding equipment	23271707
AcidBrushes	Acid brushes	Acid brushes	31211904
AcidGasCompressors	Acid gas compressors	Acid gas compressors	40151604
AcidScrubbers	Acid scrubbers	Acid scrubbers	40161702
AcornBuoys	Acorn buoys	Acorn buoys	21111506
AcousticCalibrators	Acoustic calibrators	Acoustic calibrators	41115503
AcousticEarMuffs	Acoustic ear muffs or defenders	Acoustic ear muffs or defenders	46181902
AcousticEmissionAeSensors	Acoustic emission AE sensors	Acoustic emission AE sensors	41111939
AcousticEmissionsSystems	Acoustic emissions systems	Acoustic emissions systems	41115503
AcousticGuitars	Acoustic guitars	Acoustic guitars	60131303
AcousticImpediographyEquipment	Acoustic impediography equipment	Acoustic impediography equipment	41113621
AcousticMeasurementSystems	Acoustic measurement systems	Acoustic measurement systems	41111939
AcousticTesters	Acoustic testers	Acoustic testers	41111939
AcoustoOpticModulators	Acousto-optic modulators	Acousto-optic modulators	32101528
AcrylicCutters	Acrylic cutters	Acrylic cutters	42151614
AcrylicPaintbrushes	Acrylic paintbrushes	Acrylic paintbrushes	60121229
ActionRegulators	Action regulators	Action regulators	27111714
ActivatedClottingTimeActLabEquipment	Activated clotting time ACT lab equipment	Activated clotting time ACT lab equipment	41115815
ActivemapTourGuideSoftware	ActiveMap Tour Guide software	ActiveMap Tour Guide software	55111508
ActivityMonitoringDevices	Activity monitoring devices	Activity monitoring devices	41111912
AcupunctureEarProbes	Acupuncture ear probes	Acupuncture ear probes	42182313
AcupunctureNeedleGuideTubes	Acupuncture needle guide tubes	Acupuncture needle guide tubes	42142519
AcutonicsTuningForks	Acutonics tuning forks	Acutonics tuning forks	42182412
AcWeldingPowerUnits	AC welding power units	AC welding power units	23271709
Adapters	Collection tube holders/adapters	Collection tube holders/adapters	41104106
AdapterSpools	Adapter spools	Adapter spools	20141014
AdaptiveCutlery	Adaptive cutlery	Adaptive cutlery	42211907
AdaptivePaintBrushes	Adaptive paint brushes	Adaptive paint brushes	42212109
AdaptiveScissors	Adaptive scissors	Adaptive scissors	42212109
AdaptiveUtensils	Adaptive utensils	Adaptive utensils	42211907
Addressographs	Addressographs	Addressographs	44102405
AdenoidSphygmomanometers	Adenoid sphygmomanometers	Adenoid sphygmomanometers	42181603
AdhesionTesters	Adhesion testers	Adhesion testers	41114614
AdhesiveApplicationRobots	Adhesive application robots	Adhesive application robots	23153203
AdhesiveFeeders	Adhesive feeders	Adhesive feeders	24101704
AdhesiveGuns	Adhesive guns	Adhesive guns	27112719
AdhesiveMelters	Adhesive melters	Adhesive melters	40101831
AdhesiveMeters	Adhesive meters	Adhesive meters	41111954
AdhesivePatternControllers	Adhesive pattern controllers	Adhesive pattern controllers	41112411
AdhesivePumps	Adhesive pumps	Adhesive pumps	40151502
AdhesiveRemovingPliers	Adhesive removing pliers	Adhesive removing pliers	42152713
AdhesiveSpreaders	Adhesive spreaders	Adhesive spreaders	27111909
AdhesiveSyringes	Adhesive syringes	Adhesive syringes	27112719
AdhesiveTrowels	Adhesive trowels	Adhesive trowels	27112201
AdiabaticBombCalorimeters	Adiabatic bomb calorimeters	Adiabatic bomb calorimeters	41112201
AdjustableArticulators	Adjustable articulators	Adjustable articulators	42152701
AdjustableBarberChairs	Adjustable barber chairs	Adjustable barber chairs	56111806
AdjustableBeds	Adjustable beds	Adjustable beds	42191807
AdjustableBenchVises	Adjustable bench vises	Adjustable bench vises	27112102
AdjustableCClamps	Adjustable C clamps	Adjustable C clamps	27112120
AdjustableCombinationWrenches	Adjustable combination wrenches	Adjustable combination wrenches	27111713
AdjustableCrescentWrenches	Adjustable crescent wrenches	Adjustable crescent wrenches	27111707
AdjustableCrutches	Adjustable crutches	Adjustable crutches	42211502
AdjustableEndWrenches	Adjustable end wrenches	Adjustable end wrenches	27111707
AdjustableFretSlottingSaws	Adjustable fret slotting saws	Adjustable fret slotting saws	27111508
