ns	from	to	predicate	reverse
schema	schema:Clip	schema:CreativeWork	subClassOf	superClassOf
schema	schema:WatchAction	schema:ConsumeAction	subClassOf	superClassOf
schema	schema:ExerciseGym	schema:SportsActivityLocation	subClassOf	superClassOf
schema	schema:MusicPlaylist	schema:CreativeWork	subClassOf	superClassOf
schema	schema:EmployeeRole	schema:OrganizationRole	subClassOf	superClassOf
schema	schema:RejectAction	schema:AllocateAction	subClassOf	superClassOf
schema	schema:EventVenue	schema:CivicStructure	subClassOf	superClassOf
schema	schema:ScheduleAction	schema:PlanAction	subClassOf	superClassOf
schema	schema:MedicalCode	schema:MedicalIntangible,schema:CategoryCode	subClassOf	superClassOf
schema	schema:Hotel	schema:LodgingBusiness	subClassOf	superClassOf
schema	schema:PaymentMethod	schema:Intangible	subClassOf	superClassOf
schema	schema:BodyOfWater	schema:Landform	subClassOf	superClassOf
schema	schema:ProductCollection	schema:Product,schema:Collection	subClassOf	superClassOf
schema	schema:OnDemandEvent	schema:PublicationEvent	subClassOf	superClassOf
schema	schema:CollegeOrUniversity	schema:EducationalOrganization	subClassOf	superClassOf
schema	schema:Service	schema:Intangible	subClassOf	superClassOf
schema	schema:TechArticle	schema:Article	subClassOf	superClassOf
schema	schema:TravelAgency	schema:LocalBusiness	subClassOf	superClassOf
schema	schema:WholesaleStore	schema:Store	subClassOf	superClassOf
schema	schema:DoseSchedule	schema:MedicalIntangible	subClassOf	superClassOf
schema	schema:SocialMediaPosting	schema:Article	subClassOf	superClassOf
schema	schema:LeaveAction	schema:InteractAction	subClassOf	superClassOf
schema	schema:BuddhistTemple	schema:PlaceOfWorship	subClassOf	superClassOf
schema	schema:Bridge	schema:CivicStructure	subClassOf	superClassOf
schema	schema:Beach	schema:CivicStructure	subClassOf	superClassOf
schema	schema:ApplyAction	schema:OrganizeAction	subClassOf	superClassOf
schema	schema:ReturnLabelSourceEnumeration	schema:Enumeration	subClassOf	superClassOf
schema	schema:AutoPartsStore	schema:Store,schema:AutomotiveBusiness	subClassOf	superClassOf
schema	schema:CDCPMDRecord	schema:StructuredValue	subClassOf	superClassOf
schema	schema:AboutPage	schema:WebPage	subClassOf	superClassOf
schema	schema:SkiResort	schema:Resort,schema:SportsActivityLocation	subClassOf	superClassOf
schema	schema:HomeAndConstructionBusiness	schema:LocalBusiness	subClassOf	superClassOf
schema	schema:HowToTool	schema:HowToItem	subClassOf	superClassOf
schema	schema:ShortStory	schema:CreativeWork	subClassOf	superClassOf
schema	schema:EngineSpecification	schema:StructuredValue	subClassOf	superClassOf
schema	schema:SportsEvent	schema:Event	subClassOf	superClassOf
schema	schema:DefenceEstablishment	schema:GovernmentBuilding	subClassOf	superClassOf
schema	schema:Movie	schema:CreativeWork	subClassOf	superClassOf
schema	schema:Thesis	schema:CreativeWork	subClassOf	superClassOf
schema	schema:QuantitativeValue	schema:StructuredValue	subClassOf	superClassOf
schema	schema:Synagogue	schema:PlaceOfWorship	subClassOf	superClassOf
schema	schema:Corporation	schema:Organization	subClassOf	superClassOf
schema	schema:RecyclingCenter	schema:LocalBusiness	subClassOf	superClassOf
schema	schema:Embassy	schema:GovernmentBuilding	subClassOf	superClassOf
schema	schema:ResearchProject	schema:Project	subClassOf	superClassOf
schema	schema:MusicRecording	schema:CreativeWork	subClassOf	superClassOf
schema	schema:ApartmentComplex	schema:Residence	subClassOf	superClassOf
schema	schema:ConsumeAction	schema:Action	subClassOf	superClassOf
schema	schema:GatedResidenceCommunity	schema:Residence	subClassOf	superClassOf
schema	schema:Product	schema:Thing	subClassOf	superClassOf
schema	schema:CategoryCodeSet	schema:DefinedTermSet	subClassOf	superClassOf
schema	schema:LifestyleModification	schema:MedicalEntity	subClassOf	superClassOf
schema	schema:DigitalDocumentPermissionType	schema:Enumeration	subClassOf	superClassOf
schema	schema:XPathType	schema:Text	subClassOf	superClassOf
schema	schema:FMRadioChannel	schema:RadioChannel	subClassOf	superClassOf
schema	schema:Review	schema:CreativeWork	subClassOf	superClassOf
schema	schema:PriceComponentTypeEnumeration	schema:Enumeration	subClassOf	superClassOf
schema	schema:AmpStory	schema:MediaObject,schema:CreativeWork	subClassOf	superClassOf
schema	schema:VideoGameSeries	schema:CreativeWorkSeries	subClassOf	superClassOf
schema	schema:MusicReleaseFormatType	schema:Enumeration	subClassOf	superClassOf
schema	schema:MedicalTherapy	schema:TherapeuticProcedure	subClassOf	superClassOf
schema	schema:WPAdBlock	schema:WebPageElement	subClassOf	superClassOf
schema	schema:CorrectionComment	schema:Comment	subClassOf	superClassOf
schema	schema:StatusEnumeration	schema:Enumeration	subClassOf	superClassOf
schema	schema:GardenStore	schema:Store	subClassOf	superClassOf
schema	schema:Drug	schema:Substance,schema:Product	subClassOf	superClassOf
schema	schema:ElectronicsStore	schema:Store	subClassOf	superClassOf
schema	schema:WebPageElement	schema:CreativeWork	subClassOf	superClassOf
schema	schema:Integer	schema:Number	subClassOf	superClassOf
schema	schema:CheckAction	schema:FindAction	subClassOf	superClassOf
schema	schema:DigitalDocumentPermission	schema:Intangible	subClassOf	superClassOf
schema	schema:MerchantReturnEnumeration	schema:Enumeration	subClassOf	superClassOf
schema	schema:IceCreamShop	schema:FoodEstablishment	subClassOf	superClassOf
schema	schema:ReturnAction	schema:TransferAction	subClassOf	superClassOf
schema	schema:Campground	schema:LodgingBusiness,schema:CivicStructure	subClassOf	superClassOf
schema	schema:DeliveryMethod	schema:Enumeration	subClassOf	superClassOf
schema	schema:OfferItemCondition	schema:Enumeration	subClassOf	superClassOf
schema	schema:BikeStore	schema:Store	subClassOf	superClassOf
schema	schema:RadioBroadcastService	schema:BroadcastService	subClassOf	superClassOf
schema	schema:InformAction	schema:CommunicateAction	subClassOf	superClassOf
schema	schema:StructuredValue	schema:Intangible	subClassOf	superClassOf
schema	schema:NLNonprofitType	schema:NonprofitType	subClassOf	superClassOf
schema	schema:DepositAccount	schema:InvestmentOrDeposit,schema:BankAccount	subClassOf	superClassOf
schema	schema:Joint	schema:AnatomicalStructure	subClassOf	superClassOf
schema	schema:DeleteAction	schema:UpdateAction	subClassOf	superClassOf
schema	schema:NailSalon	schema:HealthAndBeautyBusiness	subClassOf	superClassOf
schema	schema:TrackAction	schema:FindAction	subClassOf	superClassOf
schema	schema:Winery	schema:FoodEstablishment	subClassOf	superClassOf
schema	schema:PhysicalActivity	schema:LifestyleModification	subClassOf	superClassOf
schema	schema:MiddleSchool	schema:EducationalOrganization	subClassOf	superClassOf
schema	schema:DDxElement	schema:MedicalIntangible	subClassOf	superClassOf
schema	schema:Taxon	schema:Thing	subClassOf	superClassOf
schema	schema:CategoryCode	schema:DefinedTerm	subClassOf	superClassOf
