id	code	name	familyCode

Livestock	10101500	Livestock	10100000
BirdsAndFowl	10101600	Birds and fowl	10100000
LiveFish	10101700	Live fish	10100000
ShellfishAndAquaticInvertebrates	10101800	Shellfish and aquatic invertebrates	10100000
Insects	10101900	Insects	10100000
WildAnimals	10102000	Wild animals	10100000
BirdsAndFowlHatchingEggs	10102100	Birds and fowl hatching eggs	10100000
DomesticPetTreatmentsAndAccessoriesAndEquipment	10111300	Domestic pet treatments and accessories and equipment	10110000
LivestockFeed	10121500	Livestock feed	10120000
BirdAndFowlFood	10121600	Bird and fowl food	10120000
FishFood	10121700	Fish food	10120000
DogAndCatFood	10121800	Dog and cat food	10120000
RodentFood	10121900	Rodent food	10120000
ReptileFood	10122000	Reptile food	10120000
MiscellaneousAnimalFood	10122100	Miscellaneous animal food	10120000
AnimalShelters	10131500	Animal shelters	10130000
AnimalContainment	10131600	Animal containment	10130000
AnimalHabitats	10131700	Animal habitats	10130000
Saddlery	10141500	Saddlery	10140000
HarnessGoods	10141600	Harness goods	10140000
VegetableSeedsAndSeedlings	10151500	Vegetable seeds and seedlings	10150000
CerealSeeds	10151600	Cereal seeds	10150000
GrassAndForageSeedsAndSeedlings	10151700	Grass and forage seeds and seedlings	10150000
SpiceCropSeedsAndSeedlings	10151800	Spice crop seeds and seedlings	10150000
FlowerSeedsAndBulbsAndSeedlingsAndCuttings	10151900	Flower seeds and bulbs and seedlings and cuttings	10150000
TreeAndShrubSeedsAndCuttings	10152000	Tree and shrub seeds and cuttings	10150000
ResiduesOtherThanAnimalFeed	10152100	Residues other than animal feed	10150000
FibrousCropSeedsAndSeedlings	10152200	Fibrous crop seeds and seedlings	10150000
LegumeSeedsAndSeedlings	10152300	Legume seeds and seedlings	10150000
TuberSeedsAndSeedlings	10152400	Tuber seeds and seedlings	10150000
TreesAndShrubs	10161500	Trees and shrubs	10160000
FloralPlants	10161600	Floral plants	10160000
NonFloweringPlants	10161800	Non flowering plants	10160000
DriedFloralProducts	10161900	Dried floral products	10160000
OrganicFertilizersAndPlantNutrients	10171500	Organic fertilizers and plant nutrients	10170000
