id	code	name	segmentCode

LiveAnimals	10100000	Live animals	10000000
DomesticPetProducts	10110000	Domestic pet products	10000000
AnimalFeed	10120000	Animal feed	10000000
AnimalContainmentAndHabitats	10130000	Animal containment and habitats	10000000
SaddleryAndHarnessGoods	10140000	Saddlery and harness goods	10000000
SeedsAndBulbsAndSeedlingsAndCuttings	10150000	Seeds and bulbs and seedlings and cuttings	10000000
FloricultureAndSilvicultureProducts	10160000	Floriculture and silviculture products	10000000
FertilizersAndPlantNutrientsAndHerbicides	10170000	Fertilizers and plant nutrients and herbicides	10000000
PestControlProducts	10190000	Pest control products	10000000
LiveRoseBushes	10200000	Live rose bushes	10000000
LivePlantsOfHighSpeciesOrVarietyCountFlowers	10210000	Live plants of high species or variety count flowers	10000000
LivePlantsOfLowSpeciesOrVarietyCountFlowers	10220000	Live plants of low species or variety count flowers	10000000
LiveChrysanthemums	10230000	Live chrysanthemums	10000000
LiveCarnations	10240000	Live carnations	10000000
LiveOrchids	10250000	Live orchids	10000000
FreshCutRose	10300000	Fresh cut rose	10000000
FreshCutBloomsOfHighSpeciesOrVarietyCountFlowers	10310000	Fresh cut blooms of high species or variety count flowers	10000000
FreshCutBloomsOfLowSpeciesOrVarietyCountFlowers	10320000	Fresh cut blooms of low species or variety count flowers	10000000
FreshCutChrysanthemums	10330000	Fresh cut chrysanthemums	10000000
FreshCutFloralBouquets	10340000	Fresh cut floral bouquets	10000000
FreshCutCarnations	10350000	Fresh cut carnations	10000000
FreshCutOrchids	10360000	Fresh cut orchids	10000000
DriedCutRoses	10400000	Dried cut roses	10000000
DriedCutBloomsOfHighSpeciesOrVarietyCountFlowers	10410000	Dried cut blooms of high species or variety count flowers	10000000
DriedCutBloomsOfLowSpeciesOrVarietyCountFlowers	10420000	Dried cut blooms of low species or variety count flowers	10000000
DriedCutChrysanthemums	10430000	Dried cut chrysanthemums	10000000
DriedCutCarnations	10440000	Dried cut carnations	10000000
DriedCutOrchids	10450000	Dried cut orchids	10000000
FreshCutGreenery	10500000	Fresh cut greenery	10000000
MineralsAndOresAndMetals	11100000	Minerals and ores and metals	11000000
EarthAndStone	11110000	Earth and stone	11000000
NonEdiblePlantAndForestryProducts	11120000	Non edible plant and forestry products	11000000
NonEdibleAnimalProducts	11130000	Non edible animal products	11000000
ScrapAndWasteMaterials	11140000	Scrap and waste materials	11000000
FibersAndThreadsAndYarns	11150000	Fibers and threads and yarns	11000000
FabricsAndLeatherMaterials	11160000	Fabrics and leather materials	11000000
Alloys	11170000	Alloys	11000000
MetalOxide	11180000	Metal oxide	11000000
MetalWasteScrapAndByProducts	11190000	Metal waste scrap and by products	11000000
ExplosiveMaterials	12130000	Explosive materials	12000000
ElementsAndGases	12140000	Elements and gases	12000000
Additives	12160000	Additives	12000000
Colorants	12170000	Colorants	12000000
WaxesAndOils	12180000	Waxes and oils	12000000
Solvents	12190000	Solvents	12000000
CompoundsAndMixtures	12350000	Compounds and mixtures	12000000
PharmaceuticalDrugPrecursors	12360000	Pharmaceutical drug precursors	12000000
RubberAndElastomers	13100000	Rubber and elastomers	13000000
ResinsAndRosinsAndOtherResinDerivedMaterials	13110000	Resins and rosins and other resin derived materials	13000000
PaperMaterials	14100000	Paper materials	14000000
PaperProducts	14110000	Paper products	14000000
IndustrialUsePapers	14120000	Industrial use papers	14000000
