id	code	name

LivePlantAndAnimalMaterialAndAccessoriesAndSupplies	10000000	Live Plant and Animal Material and Accessories and Supplies
MineralAndTextileAndInediblePlantAndAnimalMaterials	11000000	Mineral and Textile and Inedible Plant and Animal Materials
ChemicalsIncludingBioChemicalsAndGasMaterials	12000000	Chemicals including Bio Chemicals and Gas Materials
ResinAndRosinAndRubberAndFoamAndFilmAndElastomericMaterials	13000000	Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials
PaperMaterialsAndProducts	14000000	Paper Materials and Products
FuelsAndFuelAdditivesAndLubricantsAndAntiCorrosiveMaterials	15000000	Fuels and Fuel Additives and Lubricants and Anti corrosive Materials
MiningAndWellDrillingMachineryAndAccessories	20000000	Mining and Well Drilling Machinery and Accessories
FarmingAndFishingAndForestryAndWildlifeMachineryAndAccessories	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
BuildingAndConstructionMachineryAndAccessories	22000000	Building and Construction Machinery and Accessories
IndustrialManufacturingAndProcessingMachineryAndAccessories	23000000	Industrial Manufacturing and Processing Machinery and Accessories
MaterialHandlingAndConditioningAndStorageMachineryAndTheirAccessoriesAndSupplies	24000000	Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies
VehiclesAndTheirAccessoriesAndComponents	25000000	Vehicles and their Accessories and Components
PowerGenerationAndDistributionMachineryAndAccessories	26000000	Power Generation and Distribution Machinery and Accessories
ToolsAndGeneralMachinery	27000000	Tools and General Machinery
StructuresAndBuildingAndConstructionAndManufacturingComponentsAndSupplies	30000000	Structures and Building and Construction and Manufacturing Components and Supplies
ManufacturingComponentsAndSupplies	31000000	Manufacturing Components and Supplies
ElectronicComponentsAndSupplies	32000000	Electronic Components and Supplies
ElectricalSystemsAndLightingAndComponentsAndAccessoriesAndSupplies	39000000	Electrical Systems and Lighting and Components and Accessories and Supplies
DistributionAndConditioningSystemsAndEquipmentAndComponents	40000000	Distribution and Conditioning Systems and Equipment and Components
LaboratoryAndMeasuringAndObservingAndTestingEquipment	41000000	Laboratory and Measuring and Observing and Testing Equipment
MedicalEquipmentAndAccessoriesAndSupplies	42000000	Medical Equipment and Accessories and Supplies
InformationTechnologyBroadcastingAndTelecommunications	43000000	Information Technology Broadcasting and Telecommunications
OfficeEquipmentAndAccessoriesAndSupplies	44000000	Office Equipment and Accessories and Supplies
PrintingAndPhotographicAndAudioAndVisualEquipmentAndSupplies	45000000	Printing and Photographic and Audio and Visual Equipment and Supplies
LawEnforcementAndNationalSecurityAndSecurityAndSafetyEquipmentAndSupplies	46000000	Law Enforcement and National Security and Security and Safety Equipment and Supplies
CleaningEquipmentAndSupplies	47000000	Cleaning Equipment and Supplies
ServiceIndustryMachineryAndEquipmentAndSupplies	48000000	Service Industry Machinery and Equipment and Supplies
SportsAndRecreationalEquipmentAndSuppliesAndAccessories	49000000	Sports and Recreational Equipment and Supplies and Accessories
FoodAndBeverageProducts	50000000	Food and Beverage Products
PharmaceuticalProductsIncl.ContraceptivesAndVaccines	51000000	Pharmaceutical Products incl. Contraceptives and Vaccines
DomesticAppliancesAndSuppliesAndConsumerElectronicProducts	52000000	Domestic Appliances and Supplies and Consumer Electronic Products
ApparelAndLuggageAndPersonalCareProducts	53000000	Apparel and Luggage and Personal Care Products
TimepiecesAndJewelryAndGemstoneProducts	54000000	Timepieces and Jewelry and Gemstone Products
PublishedProducts	55000000	Published Products
FurnitureAndFurnishings	56000000	Furniture and Furnishings
HumanitarianReliefItemsKitsOrAccessories	57000000	Humanitarian Relief Items, Kits, or Accessories
MusicalInstrumentsAndGamesAndToysAndArtsAndCraftsAndEducationalEquipmentAndMaterialsAndAccessoriesAndSupplies	60000000	Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies
FinancialInstrumentsProductsContractsAndAgreements	64000000	Financial Instruments, Products, Contracts and Agreements
FarmingAndFishingAndForestryAndWildlifeContractingServices	70000000	Farming and Fishing and Forestry and Wildlife Contracting Services
MiningAndOilAndGasServices	71000000	Mining and oil and gas services
BuildingAndFacilityConstructionAndMaintenanceServices	72000000	Building and Facility Construction and Maintenance Services
IndustrialProductionAndManufacturingServices	73000000	Industrial Production and Manufacturing Services
IndustrialCleaningServices	76000000	Industrial Cleaning Services
EnvironmentalServices	77000000	Environmental Services
TransportationAndStorageAndMailServices	78000000	Transportation and Storage and Mail Services
ManagementAndBusinessProfessionalsAndAdministrativeServices	80000000	Management and Business Professionals and Administrative Services
EngineeringAndResearchAndTechnologyBasedServices	81000000	Engineering and Research and Technology Based Services
EditorialAndDesignAndGraphicAndFineArtServices	82000000	Editorial and Design and Graphic and Fine Art Services
PublicUtilitiesAndPublicSectorRelatedServices	83000000	Public Utilities and Public Sector Related Services
FinancialAndInsuranceServices	84000000	Financial and Insurance Services
HealthcareServices	85000000	Healthcare Services
EducationAndTrainingServices	86000000	Education and Training Services
TravelAndFoodAndLodgingAndEntertainmentServices	90000000	Travel and Food and Lodging and Entertainment Services
PersonalAndDomesticServices	91000000	Personal and Domestic Services
PublicOrderAndSecurityAndSafetyServices	92000000	Public Order and Security and Safety Services
PoliticsAndCivicAffairsServices	93000000	Politics and Civic Affairs Services
OrganizationsAndClubs	94000000	Organizations and Clubs
LandAndBuildingsAndStructuresAndThoroughfares	95000000	Land and Buildings and Structures and Thoroughfares
