ns	from	to	predicate	reverse
Verbs	accept	acceptedBy	inverseOf	inverseOf
Verbs	achieve	achievedBy	inverseOf	inverseOf
Verbs	acquire	acquiredBy	inverseOf	inverseOf
Verbs	activate	activatedBy	inverseOf	inverseOf
Verbs	add	addedBy	inverseOf	inverseOf
Verbs	administer	administeredBy	inverseOf	inverseOf
Verbs	agree	agreedTo	inverseOf	inverseOf
Verbs	allocate	allocatedBy	inverseOf	inverseOf
Verbs	analyze	analyzedBy	inverseOf	inverseOf
Verbs	apply	appliedBy	inverseOf	inverseOf
Verbs	approve	approvedBy	inverseOf	inverseOf
Verbs	archive	archivedBy	inverseOf	inverseOf
Verbs	arrange	arrangedBy	inverseOf	inverseOf
Verbs	arrive	arrivedBy	inverseOf	inverseOf
Verbs	assemble	assembledBy	inverseOf	inverseOf
Verbs	assess	assessedBy	inverseOf	inverseOf
Verbs	assign	assignedBy	inverseOf	inverseOf
Verbs	assist	assistedBy	inverseOf	inverseOf
Verbs	attach	attachedBy	inverseOf	inverseOf
Verbs	audit	auditedBy	inverseOf	inverseOf
Verbs	authorize	authorizedBy	inverseOf	inverseOf
Verbs	benchmark	benchmarkedBy	inverseOf	inverseOf
Verbs	budget	budgetedBy	inverseOf	inverseOf
Verbs	calculate	calculatedBy	inverseOf	inverseOf
Verbs	cancel	canceledBy	inverseOf	inverseOf
Verbs	capture	capturedBy	inverseOf	inverseOf
Verbs	certify	certifiedBy	inverseOf	inverseOf
Verbs	check	checkedBy	inverseOf	inverseOf
Verbs	choose	chosenBy	inverseOf	inverseOf
Verbs	classify	classifiedBy	inverseOf	inverseOf
Verbs	clean	cleanedBy	inverseOf	inverseOf
Verbs	close	closedBy	inverseOf	inverseOf
Verbs	collect	collectedBy	inverseOf	inverseOf
Verbs	comment	commentedBy	inverseOf	inverseOf
Verbs	commission	commissionedBy	inverseOf	inverseOf
Verbs	communicate	communicatedBy	inverseOf	inverseOf
Verbs	compare	comparedBy	inverseOf	inverseOf
Verbs	compile	compiledBy	inverseOf	inverseOf
Verbs	complete	completedBy	inverseOf	inverseOf
Verbs	comply	compliedWith	inverseOf	inverseOf
Verbs	compute	computedBy	inverseOf	inverseOf
Verbs	conduct	conductedBy	inverseOf	inverseOf
Verbs	configure	configuredBy	inverseOf	inverseOf
Verbs	confirm	confirmedBy	inverseOf	inverseOf
Verbs	connect	connectedBy	inverseOf	inverseOf
Verbs	consign	consignedBy	inverseOf	inverseOf
Verbs	consult	consultedBy	inverseOf	inverseOf
Verbs	consume	consumedBy	inverseOf	inverseOf
Verbs	contract	contractedWith	inverseOf	inverseOf
Verbs	control	controlledBy	inverseOf	inverseOf
Verbs	convert	convertedBy	inverseOf	inverseOf
Verbs	coordinate	coordinatedBy	inverseOf	inverseOf
Verbs	copy	copiedBy	inverseOf	inverseOf
Verbs	counsel	counseledBy	inverseOf	inverseOf
Verbs	count	countedBy	inverseOf	inverseOf
Verbs	create	createdBy	inverseOf	inverseOf
Verbs	customize	customizedBy	inverseOf	inverseOf
Verbs	deactivate	deactivatedBy	inverseOf	inverseOf
Verbs	debug	debuggedBy	inverseOf	inverseOf
Verbs	decide	decidedBy	inverseOf	inverseOf
Verbs	declare	declaredBy	inverseOf	inverseOf
Verbs	decline	declinedBy	inverseOf	inverseOf
Verbs	decommission	decommissionedBy	inverseOf	inverseOf
Verbs	delete	deletedBy	inverseOf	inverseOf
Verbs	deliver	deliveredBy	inverseOf	inverseOf
Verbs	demonstrate	demonstratedBy	inverseOf	inverseOf
Verbs	depart	departedBy	inverseOf	inverseOf
Verbs	deploy	deployedBy	inverseOf	inverseOf
Verbs	design	designedBy	inverseOf	inverseOf
