videoId	techId
Mp4	BiometricsVideoGameSoftware
Mp4	FiniteMattersPatternstream
Mp4	GoogleVideo
Mp4	GrasshopperPagestream
Mp4	HewlettPackardExstreamDialogue
Mp4	IaSystemsStreamlend
Mp4	KpbAssociatesTaxstream
Mp4	LenoxSoftworksVideopoint
Mp4	LiveStreamingSoftware
Mp4	MetricstreamComplianceManagement
Mp4	MetricstreamEnterpriseCompliancePlatform
Mp4	MetricstreamRegulatoryReporting
Mp4	MicroVideoVideoVoiceSpeechTrainingSystem
Mp4	MicroVideoVoiceSpeechTrainingSystem
Mp4	MultimediaVideoAnalysisSoftware
Mp4	NavisworksJetstream
Mp4	NetscoutInfinitistreamConsole
Mp4	PitneyBowesShipstreamManager
Mp4	RealizationStreamliner
Mp4	RossVideoXpression
Mp4	SafariVideoNetworksEzediaqti
Mp4	ThomsonReutersLivenoteStream
Mp4	VideoAnalysisSoftware
Mp4	VideoConferenceSoftware
Mp4	VideoconferencingSoftware
Mp4	VideoContentEditingSoftware
Mp4	VideoDecoderSoftware
Mp4	VideoDevelopmentSoftware
Mp4	VideoDigitizers
Mp4	VideoEditingSoftware
Mp4	VideoEncoderSoftware
Mp4	VideoFileConversionSoftware
Mp4	VideoGameSoftware
Mp4	VideoProductionSoftware
Mp4	VideoRetrievalSystems
Mp4	Wevideo
