url	ns	type	id	code	name	description	annualMean	annualMedian	annual10th	annual25th	annual75th	annual90th	hourlyMean	hourlyMedian	matchedOnet	digital
https://onet.org.ai/Wage/ManagementOccupations	onet.org.ai	Wage	ManagementOccupations	110000	Management Occupations		141760	122090	57010	79900	171610		68.15	58.7	false	
https://onet.org.ai/Wage/TopExecutives	onet.org.ai	Wage	TopExecutives	111000	Top Executives		139860	104990	47510	68800	168490		67.24	50.48	false	
https://onet.org.ai/Wage/ChiefSustainabilityOfficers	onet.org.ai	Wage	ChiefSustainabilityOfficers	111011	Chief Sustainability Officers		262930	206420	73710	126080			126.41	99.24	true	
https://onet.org.ai/Wage/OperationsManagers	onet.org.ai	Wage	OperationsManagers	111021	General and Operations Managers		133120	102950	47420	67160	164130		64	49.5	true	
https://onet.org.ai/Wage/Legislators	onet.org.ai	Wage	Legislators	111031	Legislators		67390	44810	20380	29120	80350	137820			true	
https://onet.org.ai/Wage/AdvertisingMarketingPromotionsPublicRelationsandSalesManagers	onet.org.ai	Wage	AdvertisingMarketingPromotionsPublicRelationsandSalesManagers	112000	Advertising, Marketing, Promotions, Public Relations, and Sales Managers		163740	144530	73320	100740	204920		78.72	69.48	false	
https://onet.org.ai/Wage/PromotionsManagers	onet.org.ai	Wage	PromotionsManagers	112011	Advertising and Promotions Managers		149270	126960	63000	85990	178570		71.76	61.04	true	
https://onet.org.ai/Wage/MarketingandSalesManagers	onet.org.ai	Wage	MarketingandSalesManagers	112020	Marketing and Sales Managers		165050	148870	73080	101200	206410		79.35	71.57	false	
https://onet.org.ai/Wage/MarketingManagers	onet.org.ai	Wage	MarketingManagers	112021	Marketing Managers		171520	161030	81900	111210	211080		82.46	77.42	true	
https://onet.org.ai/Wage/SalesManagers	onet.org.ai	Wage	SalesManagers	112022	Sales Managers		160930	138060	66910	95910	201490		77.37	66.38	true	
https://onet.org.ai/Wage/PublicRelationsandFundraisingManagers	onet.org.ai	Wage	PublicRelationsandFundraisingManagers	112030	Public Relations and Fundraising Managers		154950	132870	76870	99190	182080		74.49	63.88	false	
https://onet.org.ai/Wage/PublicRelationsManagers	onet.org.ai	Wage	PublicRelationsManagers	112032	Public Relations Managers		163520	138520	78880	102300	198000		78.61	66.6	true	
https://onet.org.ai/Wage/FundraisingManagers	onet.org.ai	Wage	FundraisingManagers	112033	Fundraising Managers		137290	123480	73700	92880	166420	216660	66.01	59.36	true	
https://onet.org.ai/Wage/OperationsSpecialtiesManagers	onet.org.ai	Wage	OperationsSpecialtiesManagers	113000	Operations Specialties Managers		160590	140330	78600	103030	195490		77.21	67.46	false	
https://onet.org.ai/Wage/AdministrativeServicesandFacilitiesManagers	onet.org.ai	Wage	AdministrativeServicesandFacilitiesManagers	113010	Administrative Services and Facilities Managers		121920	106880	63940	82360	141650	188260	58.62	51.39	false	
https://onet.org.ai/Wage/AdministrativeServicesManagers	onet.org.ai	Wage	AdministrativeServicesManagers	113012	Administrative Services Managers		126030	108390	64740	83660	147150	200010	60.59	52.11	true	
https://onet.org.ai/Wage/SecurityManagers	onet.org.ai	Wage	SecurityManagers	113013	Security Managers		114520	104690	62550	80150	135650	173080	55.06	50.33	true	
https://onet.org.ai/Wage/InformationSystemsManagers	onet.org.ai	Wage	InformationSystemsManagers	113021	Computer and Information Systems Managers		187990	171200	104450	134350	216220		90.38	82.31	true	
https://onet.org.ai/Wage/InvestmentFundManagers	onet.org.ai	Wage	InvestmentFundManagers	113031	Investment Fund Managers		180470	161700	86490	118360	214210		86.76	77.74	true	
https://onet.org.ai/Wage/HydroelectricProductionManagers	onet.org.ai	Wage	HydroelectricProductionManagers	113051	Hydroelectric Production Managers		129180	121440	74900	94620	156330	197310	62.11	58.39	true	
https://onet.org.ai/Wage/PurchasingManagers	onet.org.ai	Wage	PurchasingManagers	113061	Purchasing Managers		150630	139510	85500	107430	175460	219140	72.42	67.07	true	
https://onet.org.ai/Wage/SupplyChainManagers	onet.org.ai	Wage	SupplyChainManagers	113071	Supply Chain Managers		116010	102010	61200	78360	136050	180590	55.77	49.05	true	
https://onet.org.ai/Wage/BenefitsManagers	onet.org.ai	Wage	BenefitsManagers	113111	Compensation and Benefits Managers		156230	140360	81660	105210	190890		75.11	67.48	true	
https://onet.org.ai/Wage/HumanResourcesManagers	onet.org.ai	Wage	HumanResourcesManagers	113121	Human Resources Managers		160480	140030	83790	105590	189960		77.15	67.32	true	
https://onet.org.ai/Wage/DevelopmentManagers	onet.org.ai	Wage	DevelopmentManagers	113131	Training and Development Managers		140590	127090	75810	96110	169310	219990	67.59	61.1	true	
https://onet.org.ai/Wage/OtherManagementOccupations	onet.org.ai	Wage	OtherManagementOccupations	119000	Other Management Occupations		121560	104030	54440	75640	154090	205860	58.44	50.01	false	
https://onet.org.ai/Wage/OtherAgriculturalManagers	onet.org.ai	Wage	OtherAgriculturalManagers	119013	Farmers, Ranchers, and Other Agricultural Managers		97240	87980	51700	67970	115200	156530	46.75	42.3	true	
https://onet.org.ai/Wage/ConstructionManagers	onet.org.ai	Wage	ConstructionManagers	119021	Construction Managers		119660	106980	65160	83480	139330	176990	57.53	51.43	true	
https://onet.org.ai/Wage/EducationandChildcareAdministrators	onet.org.ai	Wage	EducationandChildcareAdministrators	119030	Education and Childcare Administrators		109470	100650	55880	77100	131190	168460	52.63	48.39	false	
https://onet.org.ai/Wage/Daycare	onet.org.ai	Wage	Daycare	119031	Education and Childcare Administrators, Preschool and Daycare		62640	56270	37060	45310	72690	96400	30.12	27.05	true	
https://onet.org.ai/Wage/EducationAdministratorsKindergartenThroughSecondary	onet.org.ai	Wage	EducationAdministratorsKindergartenThroughSecondary	119032	Education Administrators, Kindergarten through Secondary		113360	104070	72400	83840	132550	165820			true	
https://onet.org.ai/Wage/EducationAdministratorsPostsecondary	onet.org.ai	Wage	EducationAdministratorsPostsecondary	119033	Education Administrators, Postsecondary		124450	103960	63820	79880	140940	212420	59.83	49.98	true	
https://onet.org.ai/Wage/EducationAdministratorsAllOther	onet.org.ai	Wage	EducationAdministratorsAllOther	119039	Education Administrators, All Other		99460	89040	49490	65180	121720	158050	47.82	42.81	true	
https://onet.org.ai/Wage/ProductDevelopmentManagers	onet.org.ai	Wage	ProductDevelopmentManagers	119041	Biofuels/Biodiesel Technology and Product Development Managers		175710	167740	111450	134930	207210		84.48	80.64	true	
https://onet.org.ai/Wage/FoodServiceManagers	onet.org.ai	Wage	FoodServiceManagers	119051	Food Service Managers		72370	65310	42380	53090	82300	105420	34.79	31.4	true	
