ns	from	to	predicate	reverse
onet	4.A.1.a.1	1.A.1.a.1	requires	requiredBy
onet	4.A.1.a.1	1.A.1.a.2	requires	requiredBy
onet	4.A.1.a.1	1.A.1.a.3	requires	requiredBy
onet	4.A.1.a.1	1.A.1.b.5	requires	requiredBy
onet	4.A.1.a.1	1.A.1.e.2	requires	requiredBy
onet	4.A.1.a.1	1.A.1.g.1	requires	requiredBy
onet	4.A.1.a.1	1.A.4.a.1	requires	requiredBy
onet	4.A.1.a.1	1.A.4.a.2	requires	requiredBy
onet	4.A.1.a.1	1.A.4.b.4	requires	requiredBy
onet	4.A.1.a.1	2.A.1.a	requires	requiredBy
onet	4.A.1.a.1	2.A.1.b	requires	requiredBy
onet	4.A.1.a.1	2.A.2.a	requires	requiredBy
onet	4.A.1.a.2	1.A.1.a.1	requires	requiredBy
onet	4.A.1.a.2	1.A.1.a.2	requires	requiredBy
onet	4.A.1.a.2	1.A.1.b.3	requires	requiredBy
onet	4.A.1.a.2	1.A.1.b.4	requires	requiredBy
onet	4.A.1.a.2	1.A.1.b.5	requires	requiredBy
onet	4.A.1.a.2	1.A.1.b.6	requires	requiredBy
onet	4.A.1.a.2	1.A.1.b.7	requires	requiredBy
onet	4.A.1.a.2	1.A.1.e.2	requires	requiredBy
onet	4.A.1.a.2	1.A.1.e.3	requires	requiredBy
onet	4.A.1.a.2	1.A.1.g.1	requires	requiredBy
onet	4.A.1.a.2	1.A.1.g.2	requires	requiredBy
onet	4.A.1.a.2	1.A.4.a.1	requires	requiredBy
onet	4.A.1.a.2	1.A.4.a.2	requires	requiredBy
onet	4.A.1.a.2	1.A.4.a.3	requires	requiredBy
onet	4.A.1.a.2	1.A.4.b.1	requires	requiredBy
onet	4.A.1.a.2	1.A.4.b.2	requires	requiredBy
onet	4.A.1.a.2	2.A.1.a	requires	requiredBy
onet	4.A.1.a.2	2.A.1.b	requires	requiredBy
onet	4.A.1.a.2	2.A.2.a	requires	requiredBy
onet	4.A.1.a.2	2.A.2.d	requires	requiredBy
onet	4.A.1.a.2	2.B.3.g	requires	requiredBy
onet	4.A.1.b.1	1.A.1.a.1	requires	requiredBy
onet	4.A.1.b.1	1.A.1.a.2	requires	requiredBy
onet	4.A.1.b.1	1.A.1.b.3	requires	requiredBy
onet	4.A.1.b.1	1.A.1.b.4	requires	requiredBy
onet	4.A.1.b.1	1.A.1.b.5	requires	requiredBy
onet	4.A.1.b.1	1.A.1.b.6	requires	requiredBy
onet	4.A.1.b.1	1.A.1.b.7	requires	requiredBy
onet	4.A.1.b.1	1.A.1.e.1	requires	requiredBy
onet	4.A.1.b.1	1.A.1.e.2	requires	requiredBy
onet	4.A.1.b.1	1.A.1.e.3	requires	requiredBy
onet	4.A.1.b.1	1.A.1.f.2	requires	requiredBy
onet	4.A.1.b.1	1.A.4.a.1	requires	requiredBy
onet	4.A.1.b.1	1.A.4.a.2	requires	requiredBy
onet	4.A.1.b.1	1.A.4.a.3	requires	requiredBy
onet	4.A.1.b.1	1.A.4.b.1	requires	requiredBy
onet	4.A.1.b.1	2.A.1.a	requires	requiredBy
onet	4.A.1.b.1	2.A.1.b	requires	requiredBy
onet	4.A.1.b.1	2.A.2.a	requires	requiredBy
onet	4.A.1.b.2	1.A.1.b.3	requires	requiredBy
onet	4.A.1.b.2	1.A.1.b.4	requires	requiredBy
onet	4.A.1.b.2	1.A.1.b.5	requires	requiredBy
onet	4.A.1.b.2	1.A.1.b.7	requires	requiredBy
onet	4.A.1.b.2	1.A.1.e.2	requires	requiredBy
onet	4.A.1.b.2	1.A.1.e.3	requires	requiredBy
onet	4.A.1.b.2	1.A.1.f.2	requires	requiredBy
onet	4.A.1.b.2	1.A.4.a.1	requires	requiredBy
onet	4.A.1.b.2	1.A.4.a.2	requires	requiredBy
onet	4.A.1.b.2	1.A.4.a.3	requires	requiredBy
onet	4.A.1.b.2	1.A.4.a.6	requires	requiredBy
onet	4.A.1.b.2	1.A.4.b.1	requires	requiredBy
