verb	frequency
advise	151
study	106
instruct	102
attend	95
act	51
turn	43
lay	40
researchresolve	38
correspondnegotiate	38
fabricate	36
prescribe	35
trim	33
mark	33
weigh	31
sort	29
fit	28
visit	28
transmit	27
greet	27
treat	27
signal	26
dispose	25
mount	24
access	22
appoint	21
represent	21
devise	21
requisition	21
insert	21
wash	21
recruitsource	20
unwind	20
reengineer	20
testify	20
terminate	19
processreview	19
createdistribute	19
monitormanage	19
prepareanalyze	19
managetrack	19
createmaintain	19
redeploy	19
managecollect	19
articulate	19
monitoranalyze	19
asses	19
maintainoptimize	19
scheduleoptimize	19
installconfigureupgrade	19
analyzeapprove	19
reinstate	19
receivedeposit	19
closecapitalize	19
maintainmanage	19
identifydedicate	19
amend	19
engageretain	19
establishclarify	19
enhancemodify	19
patrol	19
lift	19
migrate	18
modifyrevise	18
completefinalize	18
maintainupdate	18
operationalize	18
approvechange	18
canceldeactivate	18
renewreplace	18
dismantle	18
acquiresecure	18
drill	18
smooth	18
deduplicate	17
salvage	17
cover	17
spray	17
shape	17
tend	17
identifyreceive	16
submitpresent	16
rerun	16
solicittrack	16
produceassembletest	14
produceassemble	14
identifyperform	14
feed	14
listen	14
reassemble	14
fasten	13
press	13
erect	13
lubricate	13
dress	12
grind	12
input	11
compose	11
photograph	11
finish	11
trace	11
manipulate	11
relay	11
care	11
spread	11
thread	11
package	10
call	10
travel	10
splice	10
accompany	10
pour	10
climb	10
weld	10
pull	10
stay	9
specialize	9
clear	9
grade	9
brush	9
wrap	9
scrape	9
sweep	9
seal	9
paint	9
push	9
advocate	8
talk	8
employ	8
raise	8
sew	8
transcribe	8
announce	8
separate	8
escort	8
rotate	8
bolt	8
immerse	8
lower	8
code	7
sponsor	7
polish	7
sharpen	7
restore	6
phase	6
exchange	6
restock	6
exercise	6
break	6
type	6
restrain	6
dust	6
question	6
hang	6
rent	6
stamp	6
string	6
dump	6
hammer	6
setup	5
rebuild	5
sign	5
structure	5
overhaul	5
show	5
contribute	5
quote	5
adhere	5
ask	5
audition	5
heat	5
massage	5
roll	5
stand	5
walk	5
tie	5
nail	5
chip	5
sprinkle	5
preheat	5
stack	5
recycle	4
project	4
disaggregate	4
back	4
book	4
deposit	4
light	4
render	4
involve	4
handover	4
cement	4
rate	4
shut	4
warn	4
furnish	4
duplicate	4
preserve	4
key	4
decontaminate	4
aid	4
visually	4
distinguish	4
rule	4
tutor	4
decorate	4
sing	4
play	4
expose	4
disinfect	4
cool	4
plant	4
shovel	4
join	4
cash	4
mail	4
fold	4
steer	4
straighten	4
bore	4
stretch	4
buff	4
level	4
mold	4
wet	4
sand	4
cure	4
bend	4
solder	4
tighten	4
refinish	4
melt	4
demolish	3
renew	3
interface	3
simulate	3
aggregate	3
pass	3
collate	3
embed	3
network	3
adjudicate	3
discharge	3
affix	3
flag	3
profile	3
circulate	3
redesign	3
alter	3
plot	3
reproduce	3
isolate	3
sketch	3
water	3
practice	3
proofread	3
synchronize	3
patch	3
view	3
bleach	3
compound	3
inject	3
feel	3
stain	3
comfort	3
scrub	3
bathe	3
sterilize	3
clamp	3
apprehend	3
rescue	3
note	3
wind	3
cook	3
bake	3
carve	3
vacuum	3
slice	3
prune	3
haul	3
reset	3
page	3
stencil	3
print	3
saw	3
disconnect	3
waterproof	3
scribe	3
ride	3
glue	3
withdraw	3
oil	3
rewire	3
tune	3
drain	3
rinse	3
unclamp	3
couple	3
refuel	3
tow	3
setdevelop	2
quarantine	2
certifyapprove	2
broadcast	2
trackmanage	2
strike	2
recommendnot	2
reinforce	2
trade	2
acquireprocess	2
plug	2
perforate	2
correlate	2
characterize	2
remind	2
enroll	2
nominate	2
preside	2
hear	2
diagram	2
engineer	2
impose	2
arrest	2
shade	2
conserve	2
transplant	2
divide	2
brief	2
thin	2
assimilate	2
laminate	2
advertise	2
cue	2
experiment	2
transpose	2
improvise	2
vary	2
compress	2
substitute	2
tear	2
euthanize	2
admit	2
incise	2
groom	2
discipline	2
extinguish	2
guard	2
block	2
watch	2
shop	2
portion	2
butcher	2
grill	2
stir	2
attempt	2
garnish	2
wipe	2
strip	2
mow	2
steamclean	2
empty	2
embalm	2
shampoo	2
shave	2
cleanse	2
bag	2
converse	2
emphasize	2
pose	2
persuade	2
leave	2
discard	2
skin	2
tag	2
anchor	2
blend	2
mop	2
staple	2
punch	2
maneuver	2
force	2
line	2
prime	2
soak	2
dismount	2
list	2
manually	2
slide	2
crank	2
refill	2
skim	2
ignite	2
anneal	2
presoak	2
grease	2
preprocess	2
gauge	2
dislodge	2
engrave	2
depress	2
park	2
pump	2
begin	1
focus	1
influence	1
segment	1
reevaluate	1
revaluate	1
reschedule	1
downgradeupgrade	1
physically	1
maintains	1
populate	1
deice	1
carryout	1
identifyestablish	1
selectcomplete	1
engineerdesign	1
improvevalidate	1
evaluateimprovise	1
approveaccept	1
testverify	1
after	1
fleet	1
instill	1
proposedefine	1
defineimplement	1
feedback	1
planning	1
inbound	1
transportation	1
explode	1
backflush	1
sequence	1
production	1
developdistribute	1
followup	1
producemanufacturedeliver	1
shoot	1
live	1
searchbrowse	1
markinmarkout	1
selectrecord	1
layback	1
resubmit	1
upfront	1
definedesign	1
identifymaintain	1
coordination	1
changeupdate	1
screenselect	1
differentiate	1
engageidentify	1
crossservice	1
monitormaintain	1
parole	1
reroute	1
selectdefine	1
levee	1
bid	1
detail	1
gathercreate	1
pursue	1
case	1
exit	1
value	1
golive	1
stratify	1
preregister	1
continuously	1
cycle	1
rectify	1
underwrite	1
premium	1
credential	1
simulatecalculate	1
installremoveenergizereenergize	1
merchandise	1
refineupdate	1
searchfile	1
debate	1
vote	1
delegate	1
inquire	1
witness	1
insure	1
remotely	1
reorganize	1
disclose	1
decrease	1
disburse	1
encrypt	1
delineate	1
crossbreed	1
revisit	1
tailor	1
induce	1
taste	1
reconstruct	1
intervene	1
pray	1
publicize	1
probate	1
sentence	1
award	1
grant	1
arbitrate	1
catalogue	1
claim	1
conceptualize	1
frame	1
script	1
portray	1
tell	1
officiate	1
judge	1
harmonize	1
restage	1
rewrite	1
memorize	1
sightread	1
host	1
moderate	1
invent	1
preview	1
piece	1
pretest	1
surgically	1
inoculate	1
chair	1
stabilize	1
immunize	1
chart	1
cultivate	1
freeze	1
intravenously	1
immobilize	1
prepack	1
postoperatively	1
suture	1
entertain	1
undress	1
purge	1
convey	1
cooperate	1
orient	1
subpoena	1
restrict	1
summon	1
look	1
link	1
