id	name	type	label	comment	subClassOf	supersededBy	domainIncludes	rangeIncludes
schema:option	schema:option	rdf:Property	option	A sub property of object. The options subject to this action.		schema:actionOption	schema:ChooseAction	schema:Text,schema:Thing
schema:minimumPaymentDue	schema:minimumPaymentDue	rdf:Property	minimumPaymentDue	The minimum payment required at this time.			schema:Invoice	schema:PriceSpecification,schema:MonetaryAmount
schema:includedDataCatalog	schema:includedDataCatalog	rdf:Property	includedDataCatalog	A data catalog which contains this dataset (this property was previously 'catalog', preferred name is now 'includedInDataCatalog').		schema:includedInDataCatalog	schema:Dataset	schema:DataCatalog
schema:discount	schema:discount	rdf:Property	discount	Any discount applied (to an Order).			schema:Order	schema:Text,schema:Number
schema:printPage	schema:printPage	rdf:Property	printPage	If this NewsArticle appears in print, this field indicates the name of the page on which the article is found. Please note that this field is intended for the exact page name (e.g. A5, B18).			schema:NewsArticle	schema:Text
schema:muscleAction	schema:muscleAction	rdf:Property	muscleAction	The movement the muscle generates.			schema:Muscle	schema:Text
schema:illustrator	schema:illustrator	rdf:Property	illustrator	The illustrator of the book.			schema:Book	schema:Person
schema:contentType	schema:contentType	rdf:Property	contentType	The supported content type(s) for an EntryPoint response.			schema:EntryPoint	schema:Text
schema:servesCuisine	schema:servesCuisine	rdf:Property	servesCuisine	The cuisine of the restaurant.			schema:FoodEstablishment	schema:Text
schema:distance	schema:distance	rdf:Property	distance	The distance travelled, e.g. exercising or travelling.			schema:ExerciseAction,schema:TravelAction	schema:Distance
schema:containedInPlace	schema:containedInPlace	rdf:Property	containedInPlace	The basic containment relation between a place and one that contains it.			schema:Place	schema:Place
schema:broker	schema:broker	rdf:Property	broker	An entity that arranges for an exchange between a buyer and a seller.  In most cases a broker never acquires or releases ownership of a product or service involved in an exchange.  If it is not clear whether an entity is a broker, seller, or buyer, the latter two terms are preferred.			schema:Order,schema:Reservation,schema:Service,schema:Invoice	schema:Person,schema:Organization
schema:permittedUsage	schema:permittedUsage	rdf:Property	permittedUsage	Indications regarding the permitted usage of the accommodation.			schema:Accommodation	schema:Text
schema:totalHistoricalEnrollment	schema:totalHistoricalEnrollment	rdf:Property	totalHistoricalEnrollment	The total number of students that have enrolled in the history of the course.			schema:Course	schema:Integer
schema:issuedBy	schema:issuedBy	rdf:Property	issuedBy	The organization issuing the item, for example a [[Permit]], [[Ticket]], or [[Certification]].			schema:Permit,schema:Ticket,schema:Certification	schema:Organization
schema:hasMemberProgram	schema:hasMemberProgram	rdf:Property	hasMemberProgram	MemberProgram offered by an Organization, for example an eCommerce merchant or an airline.			schema:Organization	schema:MemberProgram
schema:hasEnergyEfficiencyCategory	schema:hasEnergyEfficiencyCategory	rdf:Property	hasEnergyEfficiencyCategory	Defines the energy efficiency Category (which could be either a rating out of range of values or a yes/no certification) for a product according to an international energy efficiency standard.			schema:EnergyConsumptionDetails	schema:EnergyEfficiencyEnumeration
schema:rangeIncludes	schema:rangeIncludes	rdf:Property	rangeIncludes	Relates a property to a class that constitutes (one of) the expected type(s) for values of the property.			schema:Property	schema:Class
